	TCGA.XJ.A9DX.01	TCGA.KK.A7B0.01	TCGA.EJ.7314.01	TCGA.EJ.7330.01	TCGA.V1.A9Z7.01	TCGA.HC.7752.01	TCGA.KK.A8IG.01	TCGA.HC.A631.01	TCGA.V1.A8WW.01	TCGA.HC.8216.01	TCGA.ZG.A8QX.01	TCGA.KK.A6E1.01	TCGA.G9.6499.01	TCGA.G9.6371.01	TCGA.EJ.AB20.01	TCGA.J4.8198.01	TCGA.KK.A7AY.01	TCGA.EJ.A8FN.01	TCGA.YL.A8SB.01	TCGA.CH.5788.01	TCGA.ZG.A9MC.01	TCGA.EJ.7782.01	TCGA.G9.6347.01	TCGA.VP.A872.01	TCGA.G9.7523.01	TCGA.HC.8260.01	TCGA.EJ.5495.01	TCGA.HC.A6AP.01	TCGA.YL.A8SH.01	TCGA.EJ.5494.01	TCGA.G9.6498.01	TCGA.G9.6496.01	TCGA.TP.A8TV.01	TCGA.HC.A76W.01	TCGA.EJ.5542.01	TCGA.VP.A87B.01	TCGA.VP.A87J.01	TCGA.CH.5791.01	TCGA.XK.AAJ3.01	TCGA.HC.A9TE.01	TCGA.EJ.5509.01	TCGA.EJ.A65M.01	TCGA.CH.5768.01	TCGA.ZG.A9M4.01	TCGA.J4.A83I.01	TCGA.V1.A9OX.01	TCGA.J9.A8CN.01	TCGA.XK.AAJA.01	TCGA.4L.AA1F.01	TCGA.EJ.A7NH.01	TCGA.YL.A8SF.01	TCGA.QU.A6IM.01	TCGA.HC.8261.01	TCGA.V1.A8WL.01	TCGA.G9.6338.01	TCGA.VN.A88P.01	TCGA.M7.A721.01	TCGA.EJ.A7NM.01	TCGA.H9.7775.01	TCGA.CH.5771.01	TCGA.CH.5772.01	TCGA.G9.6366.01
MEP	558.086278012659	1308.10014542933	702.640643365448	341.332867560321	990.205947226803	931.654705953073	638.402304649632	651.253841117035	624.422850553394	531.153838445497	671.241358995904	957.175615313999	857.709396125682	823.813659386446	1103.7909791814	520.317985319112	1198.21503588292	623.275433162508	513.585824779517	739.653971908263	380.309652510761	553.059912842733	1304.45142597472	848.319313436744	694.351322285366	606.461758241089	401.841516166914	1293.59227248077	586.536487215914	639.690402228354	829.338606924201	825.743613943016	907.371477855199	539.704557946899	454.393739734984	777.373844070271	573.010315213428	668.550358927827	702.600480168181	569.755957977213	602.22624347228	1030.44199501432	727.080425605835	476.007542062692	634.735967959833	703.890497493629	791.801113041751	584.677288727859	299.517578797103	548.338778627894	840.108915027608	1160.27982804315	721.536558452512	589.511220604322	778.035487453959	766.455999469954	591.357317596485	756.916840449934	515.819156926115	349.710210013283	578.107889291324	796.297432559461
MPP	293.434864360623	844.216267613295	230.619306739765	278.287068549176	544.531055834434	442.824481158861	345.26508708471	235.63744296066	253.502208183458	348.100061922905	360.900718575323	206.16043945439	373.833089749112	359.427713664343	641.54280355781	352.376683740407	287.538794741775	477.281154194302	396.654965770255	321.079970701712	939.333304419507	383.224471768181	846.928880184824	537.722905781814	597.352089961846	307.391610254402	464.841057739349	500.414916481501	262.047440863565	386.96000744134	778.430534242979	272.405163312598	230.773526925682	215.815887586813	377.392193723566	268.918656051075	195.503764719635	367.369630540444	233.703805303846	780.125254971654	491.592691447569	456.016169651495	318.465316791958	573.644208975418	372.643211629759	389.764648103045	277.035176508354	311.09000833142	709.476337394114	276.432542357907	323.849450242386	541.735450763334	384.659617313456	510.933081082476	216.362561462976	396.820315885314	259.513810417866	701.226342865795	210.048667884173	574.78572963593	446.10903228842	274.307184117742
MSC	495.750213966453	1075.90016635929	460.502000879065	267.629597903167	628.511151228892	985.45105934119	452.117949178113	589.096973825358	596.547760436258	495.541697070741	563.706453292895	660.542037097636	613.843805838787	637.319578564175	790.470244525568	394.849300719177	921.635556909821	506.078538044151	389.667542912945	434.028690201858	306.851403010179	466.506213390803	1305.59472179944	867.343172031265	650.84889238564	461.216593228591	106.585887844361	994.677244987588	603.049657371656	438.023336662616	687.221233572973	769.178117442143	736.208735366008	461.970490096629	191.513242010958	667.286618946726	552.483046426045	398.984559958103	829.775030060411	473.229791607177	524.210920889889	717.031388680048	344.75934447822	346.080664616483	514.854132778351	699.352068153774	598.685250361702	589.603726010598	770.254683456486	587.812706195495	646.507738149297	1051.26479947156	606.358606653359	530.614857593133	638.649934639107	547.168882614483	540.851162421482	608.578550923168	480.878898408838	466.472240860223	416.183491556338	590.302215868163
Macrophages	342.386915420612	796.509458583436	145.745241504949	82.4471406072807	493.563219917115	319.549414124098	397.564535895102	381.759930788224	468.082617830692	698.974002259334	453.362687517468	439.237030766503	464.040354157834	401.397259470572	187.065968128675	183.140009894911	587.568540394439	597.152920802802	300.040030215379	378.33999614476	601.221601847164	273.121628460116	672.756999142593	436.101468609777	647.302760329503	207.575117055187	368.524852708295	793.20130425157	273.992726750754	249.011673997662	408.868484513494	478.411389290645	305.880395486065	415.043912665043	284.677982323508	352.754940189896	418.64618567742	295.532181802581	483.101114411182	434.615570172642	623.534848255368	678.632564233147	383.920709106999	301.996597790137	350.728362754307	453.008427872714	439.699319726184	259.337062817874	1011.282049977	193.065627159395	243.265168420966	407.815447228884	601.895818967833	360.28811000861	522.695850311505	476.413941575984	401.712462199212	280.630483696041	415.225628692921	446.244564078173	354.111973173301	415.747955328702
Macrophages M1	399.551193880204	1015.95622464331	64.7985901955796	199.840168024901	638.16045862192	480.499213756823	378.649753601406	309.944084869318	389.692827537879	722.892338495622	369.149580766829	471.622754761475	435.75499738366	306.929494332164	328.057035450208	47.8408177675475	478.814517811459	555.948552156807	380.864349382485	315.850915520023	778.677653544165	229.106311678822	950.579558898799	500.565237026101	856.89071822954	156.955227311558	358.210330503891	877.334351070251	334.315967563715	415.766946795376	558.795594135749	509.106900413702	328.24286721188	371.979442812261	150.718923628537	433.941454188485	415.456481434505	234.294257436893	576.302099490012	499.801108255366	762.06580532933	675.98127528075	297.918645357789	304.851385942304	336.532509336529	516.188654478276	349.526733738156	217.244592938218	1026.79569669691	276.890891909156	286.126289469219	618.543601547929	691.674759962173	397.519047759478	518.689307455678	586.392125784088	409.53269267022	390.424614617233	282.764750502977	644.037057787006	268.236936325646	282.073359087888
Macrophages M2	572.519847792455	587.620088683877	331.449134746759	141.712261218383	550.167754357882	446.953901811865	402.169324579433	394.006081470017	523.576044492666	594.791168950925	492.525221863409	542.273290688638	482.941632496898	487.226899839712	321.533794111	281.240847111194	577.9124682067	614.509108072377	342.731736004338	421.289299162211	505.644016174977	229.524234293145	647.443685901366	418.873488749484	565.720017506298	305.10245584763	329.978655434961	620.88772705288	196.831254905093	277.161263710579	429.72410365063	461.447052720447	325.568661672305	504.933619406364	379.806414801561	353.685764463895	497.01259505191	360.052337809068	378.29547486327	412.289525956884	500.672007319991	464.677282586042	399.21048587968	204.704212886789	395.854755293968	438.099839170511	488.60178324898	393.816382470961	1038.07669336457	304.111654009443	252.218291773367	452.079017326577	445.034018978001	313.175411225783	593.976282533139	549.875878474263	429.746295743108	388.09758748735	504.778447260746	510.172308615391	375.020698598251	433.268009826915
Mast cells	412.25112441236	207.406042759172	424.68936169067	502.388688760271	514.00726781158	360.869491367235	399.329700408984	578.516902212416	384.761817953882	497.296039952571	311.825355622797	448.363888500922	323.903166704432	416.189848573591	388.507256797005	530.115169563825	295.060859671486	449.489661639935	536.373146999244	482.351666542765	446.631059117271	588.775787853171	66.4815099274116	466.587892427984	448.98745734111	497.448171989173	469.772716329122	241.434598490381	346.589830857272	587.50537233173	375.776607215807	249.425732856648	477.808509339977	487.854949649637	527.970692542231	356.492407921732	450.891947029653	527.0001814794	429.883275777044	528.873574831043	464.56737250879	387.352279845281	521.427325996598	493.712476483913	597.452948530875	340.850553131349	389.180158464558	501.828441520321	543.335926168125	483.078584026239	435.674639349142	0	470.130268080809	428.457628080239	256.133345107154	467.271322573034	422.012715240601	472.112071325581	528.090180971036	415.464305972992	593.21977341505	482.614714831668
Megakaryocytes	832.663754942056	558.072444329512	808.254177807081	902.514487511643	1093.25781084936	711.636156061986	1214.44825888247	471.477179497321	549.477457388389	829.911375890538	609.839555538828	521.221780947141	545.118039935389	824.550845921401	565.514438106603	931.341041840034	430.426546566863	1141.80344239806	826.555214026031	561.568053136761	964.526498685701	464.57235067937	737.406947952654	503.762865314865	1262.45814974339	836.648419553027	1004.15674476171	632.23739006412	1108.74018415247	927.130696466325	892.805053921039	804.748900051062	935.831653492407	1032.28336148158	956.957386620832	815.092774703961	746.228792902334	887.331726297883	681.616397784542	963.11963995014	962.896455315797	608.352142795143	578.942161572675	877.700682719646	722.24678333749	845.595550303755	1235.84935644314	1282.45904730351	736.811943888658	903.977843605693	824.718260543284	405.499356617606	939.580918027598	949.228215278687	1215.35751785247	860.419482540932	878.907813998118	519.455018840873	918.848145344278	1040.62427254904	1479.69472217733	645.381853769946
Melanocytes	242.638532284383	526.114354531513	440.948718354345	782.146326419265	603.354439965059	464.752036666561	332.092357583298	368.165670805445	1261.84355865715	494.020812020672	332.284663556342	682.463688155103	445.526397409069	560.987286974805	293.586540168634	521.980485440628	766.809584656007	341.431462681886	334.893389143192	907.689574054148	776.935370098797	524.578150423658	692.113920085152	615.60227043188	430.593951838286	496.030052749453	557.333313274494	744.440388727806	358.10370779946	405.766487135306	307.154509385577	394.671701874353	471.488341363684	251.454510377921	716.07113590787	484.784706220654	872.723901217854	828.711328106393	544.97187497687	674.641271372026	657.55514596037	413.291699835315	458.177440102931	830.847395768265	671.673313764653	471.66924793536	333.452845991006	630.283550544121	962.730525343239	495.671312593459	385.421546699954	683.325577988768	410.438378980048	566.775612516253	375.461437120771	219.52908017118	599.961212271476	468.750274153598	868.460827656921	524.879656949955	216.468374101708	742.621107746736
Memory B-cells	289.61339190107	902.621760539609	135.606726536003	197.72934303526	421.902571100838	292.321827216453	269.327959471567	231.023783311062	351.951839823757	302.944566534276	768.667261700194	332.485042231089	341.844432926571	359.906696409176	302.831252839758	232.246175618426	190.308094474205	619.881846581915	346.90644638484	311.687262724486	1483.53494584044	387.710529717141	980.641278027667	782.411217265192	455.019305906051	239.072892962737	311.58929018241	376.695467388254	194.256629473156	210.400288989554	965.641067439154	274.73212741374	246.047481077308	225.414222369778	328.265802784799	282.905976468855	242.640793086014	357.953530388338	211.721209902712	710.400993791667	452.323143397783	339.098038519605	289.145548405418	708.372348499238	255.919938604628	382.919694948688	239.305273432207	456.484175475726	786.495296021494	245.982896791435	166.874566168518	351.787056194233	417.274688680658	765.439647498515	295.132089866252	493.092658070917	315.460141987218	975.866320923473	253.328179808167	401.758637775112	236.737330659238	263.409023183012
Mesangial cells	547.135359453716	795.65386665963	546.549413663214	602.453611241845	539.600090616545	412.378057529319	633.642182258417	224.154215153891	487.437472643796	225.886129922582	375.573507069317	325.680004936563	234.058527209252	332.802986731456	965.076556372166	499.822203553823	666.327104666191	432.9615801615	485.70205495077	346.79624817874	1075.40843942359	558.968335124585	959.148278052675	778.786597145336	924.401560419641	493.652280061026	766.771261976169	639.863328217823	495.014638561164	360.993198124177	650.53524462941	631.66169092298	166.161583665772	828.56287860898	521.697189686712	547.676966007853	577.294963690958	502.206058630721	477.895039137943	996.916187458042	584.715993199321	432.53149719831	234.318035721167	789.766464059136	647.383723002551	597.365951514031	212.848287804882	564.120970101449	1113.98483817257	575.619687932402	653.860949997614	727.702008733523	357.363920185391	333.582239079529	719.812419565975	397.813452159708	550.791019880901	586.537377954527	559.590063213789	884.845268227988	235.27500964368	355.387588745315
Monocytes	450.749262424213	737.380039137368	201.587294763443	421.624176121033	625.78693549753	545.675553121085	612.689790122734	225.676687542796	350.767523672509	510.916661489855	181.305879314499	240.794930544128	447.370234261272	273.802123010498	570.062004438159	375.345548981845	176.870335908955	512.3756522681	536.333433236584	297.752464051735	754.899426423226	430.164816511122	658.461937207149	482.774741104523	699.400853707695	271.581463540607	500.22391973396	665.849274170166	339.109303378736	402.796892355498	563.967818610799	399.713293705472	267.106160218954	425.181334700509	376.583008203115	353.825943884703	370.619291486051	488.510653241196	447.868141637453	751.79134556091	639.904499580329	563.535936187339	234.773909243731	422.053434744697	277.75905092133	522.883310383026	574.61530894757	308.703196124086	1026.02332358757	283.208769131291	396.114071729461	598.033092391363	491.483908804554	421.542796446328	350.498890937082	496.401965185732	421.252686819523	572.212034391467	336.703861846704	841.945211316485	407.969327642462	75.5930471977066
Myocytes	624.788128784034	259.938544913725	436.26328691777	534.789204257177	540.245540733761	530.062567684915	2368.81450991129	648.707247084636	367.985968967675	532.919686805081	2938.40614629741	492.353769331387	433.231674545002	627.956630245943	746.03494480493	699.952093701514	533.001776665483	2652.34292807037	657.445161162057	493.737022518962	1427.28584460502	547.036229203116	2380.92186668262	478.932118829205	2661.03641349518	486.30919386065	567.735460901339	523.063862459183	2084.29871354398	492.836508406257	581.332251650906	571.303232534958	470.091363847081	409.597658871307	616.756662463668	401.559954210551	683.812574807483	627.69973936454	470.492865316635	401.969426290729	535.905388710951	494.013130989792	563.336222654366	621.240280758812	594.858367969447	383.105553930756	1417.51704433219	324.163936709132	549.330606200775	475.23765114468	544.430574392598	365.486116215903	479.790182869368	561.278038032251	3371.13132497118	2300.94110957597	474.603894507512	507.338010047521	566.583876317891	604.078380283184	619.409353857748	610.385662598675
NK cells	441.718047829598	306.490582075375	406.219419151375	493.901460293924	444.375745599326	246.84851987214	329.065080938728	536.084129790604	467.127824301548	607.186826844713	363.113899167076	457.918385291503	440.928187059999	457.637177881355	475.865703119792	493.977197428672	430.894606364211	452.155404205843	464.816202324521	532.60071560507	593.310145799432	473.367620120303	376.981101711151	303.70023073879	295.638641683516	416.208596100381	656.192641908409	236.249695073316	327.170127498705	436.184682408418	547.690615137686	424.320707098908	357.218378887341	219.917467264432	547.019578955103	260.876948324442	438.861736884957	496.756822172838	389.076078045668	553.025877771677	392.834937020305	426.51756505986	564.039027952276	767.521665326434	525.138589807079	395.624303527548	504.164902656267	340.440781934809	503.897789782708	400.102644250436	381.739705520325	602.540298860604	456.484040234853	457.825777956555	159.389516204054	375.80439906624	349.594300948175	536.113395520498	411.114003479714	447.403134510621	707.907298157405	436.921688864818
NKT	595.085007395871	941.307803274804	330.783791984092	356.763471829555	549.818847701014	704.664834043853	653.371965518267	412.447377396772	502.583289550459	171.733284975595	583.659080665013	493.034708606484	471.713215117881	301.097877385027	831.963236231158	161.99239053015	582.668294559853	520.158705742708	333.20040665485	455.155670588221	913.536725396121	423.884471935524	1127.00655667897	978.270042949771	852.713896215905	165.799707732142	427.207231803149	903.781243788081	478.441588219649	308.466724845222	963.270682459989	675.61803590819	329.571753015015	578.923430258541	45.6662297364049	464.92370750537	401.425573609398	386.780990908346	340.739659095953	530.038685776532	592.099075499465	328.472390239666	282.267026131198	294.333822334041	158.323489293036	595.034263965247	262.758696817494	173.043929442832	511.778763791384	231.226585752792	297.29894947134	735.749084500337	316.944893421574	355.825495057276	1347.23777392503	544.243743257338	476.444478064338	652.535608623587	272.154643067669	806.146641784361	27.8299981847517	360.856584591284
Neurons	273.832273782851	236.834047885412	394.456830252072	528.681642979045	542.812005818771	339.196401997622	487.7873822919	360.807630695455	494.181701522066	313.947316029919	407.061551101579	260.65399058107	341.590404875316	468.917518955212	898.933969856541	641.252866254325	559.062369996568	262.866954906	431.556708610928	185.82265306507	167.288818836957	414.634779537346	553.920082387963	333.422941905866	654.592593437809	458.169703612602	614.828617085037	405.271009298941	339.934990870188	612.87989799457	494.681195246342	219.512289585222	222.208118640879	454.01511320763	667.450575547134	244.151765295895	454.743759960475	412.603813345603	270.554247896807	596.275327809661	428.735048137333	300.705549724442	329.975016774343	713.110896827624	503.13863574145	372.349913347497	150.069922113838	271.65675276749	502.441995541242	460.297346781154	707.554004324657	295.03870459162	222.236993019214	381.03921510418	562.961289189715	321.962366701849	359.591088722609	287.682002215791	638.686910344405	466.926589625589	570.595928929122	385.956196284475
Neutrophils	602.794974043099	519.446224593105	519.609351010949	691.720260173153	358.37086387162	661.638457620073	530.797395806098	440.686530770508	524.684947536082	455.508912942518	223.66449585427	524.161769457574	467.576733633713	479.540457772775	401.676300591137	521.000716350479	409.761491442864	558.788958902742	502.263940607747	584.821668320418	639.760825534921	661.199888681527	256.93379915386	398.537172000977	267.377498169527	556.861096758177	524.581847901259	502.221616182205	346.955081837716	489.49798567369	445.172343159066	448.200440978282	519.955208869742	609.612828586317	576.194108572446	632.661592649627	672.36331763736	696.579142203564	469.971145995673	472.029060390917	447.183163226227	527.717748566689	542.617055955003	599.826456374878	516.41111418788	516.567480311009	981.962695557654	720.447606909366	810.031985998532	442.698452241332	512.499519161132	691.390347369385	453.241589101701	481.800045583681	358.05847902592	480.411437710497	361.177276106939	408.422420435678	546.738453867094	716.026921298071	797.400631215408	377.886419609235
Osteoblast	501.135123834606	765.156103833	545.922290127422	447.573066066219	710.217858403183	658.583200636672	610.748988502226	676.584201763893	478.113439877901	541.599604474607	699.190572911365	573.655956546912	642.29287549883	686.172358912409	672.399218347122	506.107865728048	742.73008028972	591.307946276766	606.802635568583	484.3675102496	308.433128595956	501.634359030156	725.134666119146	503.947677058123	680.71213007788	502.353362906724	314.331407896807	719.127311764213	528.122519853625	532.434050021389	547.90826506329	603.851174428648	622.333446674255	620.310830088129	420.000381277878	606.583075112023	454.746550324588	497.956928814988	583.221260912981	269.057644373799	654.009878173194	772.408676434583	427.759681296806	370.388633464632	425.783204290548	590.046482897287	483.428189001741	434.840494980699	542.22295289291	498.410729765048	551.957686841751	663.831193600186	596.718635013445	547.140239333646	742.511724644471	686.376364554892	537.320774900184	489.13444435985	604.749489649358	555.860505998998	510.75180797025	667.12204205707
Pericytes	524.208811423873	845.146443749889	341.28157004143	864.599234246013	785.179633416861	706.694722433103	849.753379228718	533.393735162567	647.858096988362	345.224762736524	596.701251483207	533.750849278167	535.90456671052	719.452101367202	1554.03039640444	888.72709096084	500.208498648757	588.845480041007	1021.27687348028	370.258892187366	698.29993533732	919.923885464007	1153.18854091887	986.485843192278	1381.16046467723	706.651062080606	842.721973783482	666.071165199247	737.268618244584	774.551587840104	1114.94523452433	930.023101965784	564.503018694392	1076.55062551119	432.424950815776	648.748890868502	441.689078754872	441.101291420134	683.587644642355	838.17443584679	649.370376795118	483.448335502779	237.376609706126	384.539682459319	497.189761919074	577.600372747335	669.142232499392	502.81887027489	1413.62711125294	754.46125483369	836.165622843715	767.208511455418	518.779473420551	797.598831234212	821.465845776665	933.645625319755	672.200253479945	644.483669870526	1001.4504621181	821.37548376235	772.942846459636	640.227228255704
Plasma cells	713.543638733812	720.544993252688	417.533914149177	427.434865535814	479.593292481303	759.017868810058	449.647900399805	611.478114725816	552.042643376965	432.22107583737	774.220482847101	594.250099114268	707.03437673843	676.792837208548	191.32062581639	298.573315783475	631.179153013775	633.596963060479	523.674799377453	491.85106318734	205.395432335496	773.011171187324	444.248159400075	571.288320283306	239.160946616863	553.831748457271	233.360871345831	631.784509209507	619.995862903389	455.441935416853	759.879780456674	544.366985399363	808.007283805861	336.257957963419	425.438660352937	653.945700470113	547.693896297646	461.837227591365	474.090221921931	514.363026476534	485.079344087522	666.971572752708	486.082085170667	362.610069041338	788.440195966294	557.759097458211	798.093402606818	565.316416516251	356.685896764414	578.69835099548	266.391018878958	671.766628975865	552.099397805747	717.420193910335	812.783512310498	643.459727450904	664.941884380588	419.049198690182	557.653986650125	265.854456975353	518.883979151768	839.688580338025
Platelets	399.084198928036	118.955713679775	388.818580339568	397.962417457881	474.677083147297	460.755930373307	618.670438148635	339.216616895667	246.704665708024	409.434092318539	594.551426701595	238.727918225462	320.235208202534	473.076890716013	292.282590004125	565.630889676229	295.3033184478	653.700777660495	354.95312623559	378.401904789865	321.885592034933	200.341811055476	415.075281629207	130.180964901396	620.901876827627	516.958657479561	511.091650508887	222.46004394199	661.051008368102	477.429278820417	337.580968455894	399.089016599517	489.023002853097	420.143458414055	570.707462745129	401.501391455753	325.490270908316	491.055710585695	440.609857368732	419.725308732389	362.536398622693	322.215511699918	420.07276823936	431.460467123907	335.761153946278	385.247683327569	581.17686535895	521.228800016847	121.847974364032	428.831659896775	376.476386830933	202.466216236329	476.261854963127	508.749424948154	610.678437906863	479.325010415773	411.692762473581	297.970805932214	482.748251421779	409.93297685685	683.180957987113	357.439837269679
Preadipocytes	351.939076475394	166.395732914287	470.064986113376	563.127319989473	667.176296727864	462.866581997611	538.101101503152	389.710425199342	127.796073721763	456.223106629811	410.101471881572	287.469656601975	424.472388907115	568.527340276293	327.420678051137	626.215118555936	356.735025300814	551.366984154528	647.443322323161	643.461559386856	267.641226477307	260.607237654882	249.708303577233	359.237534671797	705.234653019929	511.81540938653	553.653149430383	223.56378637491	368.575158894465	625.717720892536	613.273564935281	515.47503188242	386.732045485752	490.030961771201	611.304510740168	502.854146573044	568.628977015019	547.19012706244	501.417804631633	531.740135807928	579.307547438069	298.489223870814	509.480756925279	274.639944817815	490.281627454538	369.592147463977	582.688636092099	438.511106722908	361.481006964545	547.888334227465	528.824072759049	215.639569000959	377.686507271708	456.585817786913	475.674368509413	587.564458129778	536.822879925756	305.65434902866	770.014446843245	502.940650649982	607.81081320623	539.492888993508
Sebocytes	629.703841621251	1768.35408685422	1136.56403708738	1211.3266757047	0	895.006102561143	654.23462517271	544.523523724573	1244.6363389403	854.952661864742	571.736191245342	1100.70151900262	999.75717123302	775.688306705333	979.823843084325	669.057255380175	1232.67082211849	633.52293419784	851.055447085609	509.321752947563	1539.64265736189	469.838906507029	1057.42153871763	1403.94952923859	297.116719469042	1474.92892633493	377.559867185848	1375.05697785154	711.709573415992	912.544746873191	977.549695278919	1197.3075453909	424.640509011629	966.572941532658	924.828956682934	556.916397962027	802.603986628894	1066.06926573956	533.356961901971	1202.19281321153	1073.34211136052	1273.76589876953	932.340047896591	735.891627746521	885.553655407991	1515.79958998319	764.31287784493	966.819548118253	671.672908250912	1230.44400717951	278.308422807579	1732.6769901222	900.84932253579	985.316781252251	965.361222218887	518.511042033143	1188.94090554011	944.88814278933	626.575430765385	1312.14909121666	362.918436814862	890.320352863875
Skeletal muscle	455.167936782152	507.768825598993	287.773026731509	374.265276001059	480.80110920875	573.389586038125	2824.02283920899	355.566615889998	286.13923817509	322.600368518199	4491.00829825645	430.379838231716	325.450373572111	444.606449247987	700.76006672161	498.17751896585	281.823303265587	3745.51880324319	416.825353832861	548.334430907979	1330.36813810515	312.387618390354	3024.98258337308	324.054749938823	3432.77442899827	354.953092549001	341.048385647268	607.715404740916	2336.44568203329	151.271782493992	239.854808660023	454.752461381414	423.211112237634	254.940743188653	281.58866592672	614.094888747015	202.558733097102	190.912826180213	496.971157920313	203.125382803972	451.222371754205	431.570554772747	385.393233902205	583.735688501314	117.800333425104	455.765771426772	1329.46903457158	451.845078951117	300.692595982501	466.041228715245	310.20483561494	687.724778247757	427.719424844136	263.209943906168	5842.40258311406	2640.84424825554	347.664822941407	381.257913138316	374.816102637678	467.805319743034	432.756198284804	189.57566013128
Smooth muscle	180.29752110289	314.657595598963	405.56659406528	465.368655919775	791.957769704411	230.344983961615	698.696945377066	536.716350757595	374.051310637239	523.484735068102	656.732071572906	399.227790971743	509.974004831797	595.158953440499	765.484645965343	569.685095575037	522.35434039287	655.999958107177	725.216608015167	223.715140048769	405.520411903508	400.888373562429	557.032034741661	531.501542458861	859.465805245554	499.28097610669	612.810519989358	596.953334088907	460.489239154439	546.757838746804	625.864064116736	456.510678708274	260.347635430378	674.210707473641	620.267913969008	128.085571929244	360.432735967213	506.213727894697	475.834306335416	521.755351142863	512.334077129156	624.745926492089	452.972890194107	329.959978939738	500.81396998168	440.735469301369	330.520235026449	165.183381172343	619.43452537802	498.105144562367	685.564069156095	206.297436161294	481.307607212866	578.698953460297	545.04004393432	661.636171421395	475.850273147278	414.265429901109	645.638287155895	526.119422193676	712.568143015454	501.44741553538
Tgd cells	245.789008249724	281.873107508438	204.462333658384	41.528592597035	187.521983667899	127.293553633249	50.5628676262847	406.27890751152	213.400141582052	341.960236010537	53.2897798287753	503.809959831263	246.889716465032	257.090623875283	132.788510051878	64.5652464427782	255.081534436312	41.9031770270706	49.9702262502275	538.234324607145	127.56209172097	239.87895946348	230.401976956015	131.743094393627	48.8838992608686	62.8332404637519	237.287217772766	260.821340036264	115.488428035792	159.661645771635	256.557487716315	336.530551337165	261.713693454306	0	206.36470719402	151.96639114498	272.486643641203	192.979853155293	208.456396931292	117.63063924591	170.321959510193	323.284837647201	282.112758277328	236.721486022619	143.631824860806	108.011732054016	206.7036857836	152.965751331461	109.38818563481	37.0891876123751	202.754687609193	381.697237053658	232.919288491934	177.392084780905	38.4429427055456	194.645771877256	125.850389383463	308.935849588795	91.9674308838633	46.2132130196554	294.003435411199	224.791776776223
Th1 cells	694.752980860626	1300.80951960703	634.120038060216	237.668009781757	911.467117934433	1085.85105204562	485.155544865793	662.109624558777	773.333401711134	563.546110728529	608.12438153211	588.900234370141	780.111783307431	819.501790003724	648.773118362042	339.845976106192	728.862964763647	550.742830795299	363.306579803654	965.974718513718	84.7612235439919	359.317322446224	1325.96570944252	736.386138417033	345.637542007737	464.496203581836	12.8646928244686	1114.53400532522	650.757822385487	561.000083582866	806.794426105351	954.634154927394	845.119053507596	613.148903778348	88.7350983246988	813.569775402587	450.50944367821	210.114839982371	849.242371856411	64.5199545645203	673.770707977451	959.933835410478	624.588453459466	352.551959389949	167.184072874254	799.047663170699	818.251689861562	464.177822965616	73.1251585137613	560.017097627445	348.92239540147	1502.33374329852	813.375284978992	458.892684727399	756.764158832059	601.506184300141	547.598959986254	765.744958422989	525.193264452485	406.351827678094	623.083499256928	718.251941422119
Th2 cells	376.246396838964	413.987421159033	434.228433899453	239.458458679357	517.754944134976	64.6724542216202	426.378470056167	1087.94034218867	641.044778710715	796.83406141401	573.161281443067	996.192229051272	454.549604406845	768.175608011616	916.354594645352	669.622261220933	798.353787275495	383.438958266715	753.151442396569	1070.63364696255	298.210086378258	576.307898378245	626.361386896356	483.521049133668	527.884722751385	291.620289549238	734.484874129578	549.179518444082	601.272598892558	506.134520832813	581.015904724999	667.923081758343	531.527472109118	484.292474403885	922.913317997919	280.903589760765	754.038811702508	890.532820520949	419.829210206935	312.570015124335	660.804026469558	789.997864748287	823.292146342717	773.260033400722	812.83924418046	319.695198521111	539.467890429672	191.188599656903	804.992796932998	220.764121695569	782.546190711418	395.740372404671	667.667215335032	491.390893228105	387.251809934005	650.683581527291	431.034193084811	867.635061202874	536.580576821494	454.791239629256	969.313860483084	502.158352976339
Tregs	929.949313983447	231.835827066211	445.057497278144	780.281398070582	447.923816872323	504.843676139368	669.486028652819	764.475839243889	515.652435050266	607.895044627591	648.133557854372	721.257087633269	527.467505628947	610.369258449903	564.313959447802	880.505351320264	232.162846238849	768.333107501882	550.255252699783	1128.6040272848	1075.61254284154	841.45129197765	263.54360849179	633.193625589179	962.814231109555	654.812270803908	814.664513200883	58.7290480669614	563.465559789045	682.318511916711	895.510142548285	424.285815157149	704.083664540505	540.090274068135	896.034888411674	742.087379093205	862.345960328284	623.543835195974	791.664198483343	937.092383076575	755.147404859305	477.008581871201	675.668497539189	1085.49929833194	937.358898651694	447.033276004742	721.071986299891	835.853243933178	899.769415935002	478.550061880729	629.494253321223	361.012248859197	770.8390326612	965.74649095171	467.228457999208	769.557673760074	530.617833765884	872.735363016919	597.144737492594	685.263596257608	671.655312556782	502.571148997984
