	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62
NK cells	1	1	0.817473333333333	0.882876666666667	1	1	1	0.447413333333333	1	0.26747	1	0.819393333333333	0.897073333333333	0.640926666666667	1	0.95914	0.95914	1	0.83297	0.817473333333333	1	1	1	1	1	1	0.510683333333333	1	1	1	1	1	1	1	0.50503	1	1	0.71937	1	1	1	0.721033333333333	0.432336666666667	0.308893333333333	0.53956	1	0.700906666666667	1	1	1	1	0.60553	1	1	1	1	1	1	1	1	0.168826666666667	0.63954
NKT	0.0381466666666667	0	0.20634	0.231813333333333	0.09391	0.0152833333333333	0.0424	0.1908	0.09748	0.88598	0.0900166666666666	0.0900166666666666	0.109736666666667	0.351276666666667	0	0.719366666666667	0.04905	0.12322	0.266673333333333	0.140056666666667	0	0.1283	0	0	0.000393333333333357	0.80192	0.211093333333333	0.00052333333333332	0.110426666666667	0.24038	0	0.02029	0.182403333333333	0.06963	1	0.10202	0.181933333333333	0.18656	0.21667	0.0620766666666667	0.05959	0.319973333333333	0.379106666666667	0.321276666666667	0.774793333333333	0.0416366666666667	0.46455	0.60776	0.155256666666667	0.485043333333333	0.3103	0.00219333333333338	0.24374	0.210456666666667	0	0.0932266666666667	0.108266666666667	0.0158666666666667	0.46225	0.000866666666666682	1	0.17806
Neurons	0.55291	0.91785	0.00280666666666662	0	0	0.21077	0	0.0118433333333333	0	0.190566666666667	0.00432999999999995	0.516883333333333	0.0643366666666667	0	0	0	0	0.565636666666667	0	0.995796666666667	1	0.00599000000000005	0	0.190566666666667	0	0	0	0.000149999999999983	0.231226666666667	0	0	0.759146666666667	0.906136666666667	0	0	0.832483333333333	9.99999999995449e-06	0.00432999999999995	0.53446	0	0.000870000000000037	0.258503333333333	0.140553333333333	0	0	0.0519866666666666	1	0.781356666666667	0	9.99999999995449e-06	0	0.478166666666667	0.97442	0.0519866666666666	0	0.21077	0.0415166666666666	0.66238	0	0	0	0.0126266666666667
Neutrophils	0.119686666666667	1	0.204773333333333	0.02001	1	0.07412	0.551373333333333	0.490736666666667	0.502053333333333	0.561186666666667	1	0.629266666666667	0.495236666666667	0.409033333333333	1	0.314416666666667	1	0.305376666666667	0.319816666666667	0.09169	0.64722	0.0568666666666666	1	1	1	0.30891	0.210663333333333	0.865896666666667	1	0.361086666666667	1	0.42554	0.396663333333333	0.12392	0.372806666666667	0.154116666666667	0.103416666666667	0.05035	0.561186666666667	0.842263333333333	1	0.3574	0.27744	0.539446666666667	0.506553333333333	0.558796666666667	0	0.0624866666666667	0.0302866666666667	0.481823333333333	0.724173333333333	0.236236666666667	0.773736666666667	0.566113333333333	1	0.634476666666667	1	1	0.25092	0.138593333333333	0.0393	1
Osteoblast	0	0	0	1	0	0	0.647856666666667	0	0.90236	0.00104000000000004	0	0	0	0	1	0.713523333333333	0	0.247163333333333	0.13298	0	1	0.0640166666666667	0.55336	1	1	0.340416666666667	1	0	0.601246666666667	0.02488	1	0.03525	0	0.0179466666666667	1	0	0.325586666666667	0.06745	0.00707000000000002	1	0	0	0.1624	1	1	0	0.776006666666667	0.271436666666667	1	1	1	0	0	0.21322	0	0	0.0877866666666667	0.174236666666667	0.00159333333333334	0.541023333333333	0.38035	0
Pericytes	0	0	0.19108	0	0	0	0	0	0	0.505716666666667	6.33333333333042e-05	0	0	0	0	0	0.000303333333333322	0.00103666666666669	0	0.107273333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0212266666666666	0	0.00949	0.0115366666666666	0	0	0	0.00807000000000002	1	0.274613333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plasma cells	0	0.00278666666666672	0.21102	0.0375766666666667	0.000196666666666623	0	0.000866666666666682	0	0.000566666666666715	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0.321223333333333	1	0	1	0	0	0.22563	0	0	0	1	0.138123333333333	0.00428666666666666	0	0.136586666666667	0.2989	0.15451	0.00465666666666664	0	0.00179333333333331	1	0	0	0	0.216196666666667	1	0.00268999999999997	1	0	0.0119133333333333	0	0	0	0	1	0.00930333333333333	1	0	0
Platelets	0.504296666666667	1	0.19938	0.204886666666667	0.167663333333333	0.56791	0.126506666666667	0.270456666666667	0.864433333333333	0.149096666666667	0.102866666666667	0.678153333333333	0.270456666666667	0.109983333333333	0.94808	0.11359	1	0.0221933333333333	0.20299	0.28018	0.185196666666667	0.98105	0.80628	1	0.148413333333333	0.122353333333333	0.141793333333333	1	0.0944833333333334	0.135903333333333	0.433793333333333	0.601186666666667	0.19485	0.675643333333333	0.0944833333333334	0.391313333333333	0.440783333333333	0.121973333333333	0.166893333333333	0.13482	0.207413333333333	0.225	0.15086	0.12413	0.22097	0.178836666666667	0.09959	0.128403333333333	1	0.179913333333333	0.336846666666667	1	0.11103	0.0728433333333334	1	0.150436666666667	0.167663333333333	0.316773333333333	0.15415	0.198253333333333	0.0450733333333333	0.227993333333333
Preadipocytes	0.16783	1	0.00113666666666667	0	0.00386666666666668	0.631523333333333	0.222273333333333	0.336873333333333	1	0.0518866666666666	1	1	0.122573333333333	0.00488	1	0	1	0.140976666666667	0	0	1	1	1	1	0.113743333333333	0.00826666666666664	0	1	1	0	0.00868000000000002	0.123403333333333	0.180736666666667	0.07385	0	0.0106366666666666	0	0	0.261723333333333	0.0128533333333334	0.00405333333333335	1	0	0.304593333333333	0.0531233333333333	1	0.000386666666666646	0.0192833333333333	1	0.00997999999999999	0.14707	1	0.43444	0.0852266666666667	1	0.0638733333333333	0.0104666666666666	1	0	0.04904	0	0.00314999999999999
Sebocytes	0.19343	0	0.0217566666666666	0.000419999999999976	1	0.0018866666666667	0.0636933333333334	1	0	0.0375066666666667	0.0343133333333333	6.66666666666593e-05	0.00343333333333329	0.07735	0.05938	0.0928166666666667	3.33333333335517e-06	0.04414	0.04764	0.115393333333333	0	0.290813333333333	0.000170000000000003	0	1	0	1	0	0.17991	0.0928166666666667	0.0177966666666667	0	0.333143333333333	0.00284333333333331	0.000310000000000032	0.26774	0.00405999999999995	0.00230333333333332	0.27362	0	9.99999999995449e-06	0	0.00485666666666662	0.0928166666666667	0.0018866666666667	0	0.04414	0.0375066666666667	0.0018866666666667	0	1	0	0.0289766666666667	0.0113066666666667	0	0.0289766666666667	0	0	0.121246666666667	0	0.146183333333333	0.0113066666666667
Skeletal muscle	1	1	1	0.0706599999999999	0.01364	1	0	0.50802	1	0.133213333333333	0	1	0.4818	0.0153633333333333	0.0785666666666667	0	1	0	0.0235133333333334	0.0785666666666667	0	1	0	1	0	0.438993333333333	0.40504	0.996063333333333	0	1	1	0.757073333333333	1	0.838586666666667	0.499376666666667	0.963693333333333	1	1	0.0610933333333333	0.356083333333333	0.0610933333333333	0.294563333333333	0.167066666666667	0.0144566666666667	1	0.309506666666667	0	1	1	0.00412666666666661	0.739746666666667	1	0.60652	0.91041	0	0	0.447756666666667	0.958366666666667	0.08447	0.25205	0.0495100000000001	1
Smooth muscle	1	1	0.659416666666667	1	0.233153333333333	1	0.60255	0.13326	1	0.40784	0.06091	1	0.433593333333333	0.17915	1	0.411333333333333	1	0.373666666666667	0.29487	1	1	1	1	1	1	1	0.498946666666667	1	1	0.2547	1	1	1	0.393046666666667	0.0260166666666667	1	1	0.181323333333333	1	1	1	0.23376	0.0673766666666666	1	0.46141	1	1	1	1	1	0.50748	1	0.40015	0.488206666666667	1	0.45165	1	1	0.214983333333333	1	0.01632	0.328523333333333
Tgd cells	1	1	0.913313333333333	1	1	1	1	0.479413333333333	1	0.40948	1	0.121733333333333	0.99656	1	1	1	0.989233333333333	1	1	0.29422	1	0.56922	1	1	1	1	0.944966666666667	1	1	1	1	0.80437	0.97845	1	0.93939	1	0.783336666666667	0.864803333333333	1	1	1	0.721646666666667	0.853386666666667	0.846213333333333	1	1	1	1	1	1	0.777793333333333	1	1	1	1	1	1	0.849023333333333	1	1	0.860413333333333	0.96221
Th1 cells	0.0106333333333334	0	0.0142333333333333	0.567376666666667	0.000123333333333364	0	0.196233333333333	0.03937	0.000663333333333349	0.118406666666667	0.0376633333333334	0.0862233333333333	4.99999999999945e-05	0.000636666666666619	0.10045	0.396873333333333	0.00401666666666667	0.119256666666667	0.43134	0	1	0.38078	0	0.01336	0.538913333333333	0.14065	1	0	0.03978	0.0704033333333334	0.01196	0	0	0.06448	1	0.000856666666666617	0.13432	0.667423333333333	0	1	0.0248366666666666	0	0.0317533333333333	0.475596666666667	0.796576666666667	0.00247666666666668	0.000480000000000036	0.124763333333333	1	0.102546666666667	0.355606666666667	0	0	0.152103333333333	0.02633	0.0700499999999999	0.0705733333333334	0.0139766666666666	0.08556	0.266666666666667	0.117796666666667	0.00441000000000003
Th2 cells	1	1	0.984496666666667	1	1	1	1	0.0726466666666666	0.67666	0.33283	0.85152	0.17601	1	0.486206666666667	0.42229	0.36693	0.3411	1	0.344093333333333	0.335933333333333	0.989176666666667	0.543836666666667	1	1	0.921523333333333	1	0.25575	1	0.71186	0.843526666666667	1	0.8954	1	1	0.01939	1	0.286656666666667	0.02494	1	0.9713	0.73097	0.566876666666667	0.278163333333333	0.198103333333333	0.0573566666666666	1	0.942773333333333	1	0.24675	1	0.236206666666667	1	0.696476666666667	0.888473333333333	1	0.680303333333333	0.949736666666667	0.376613333333333	0.826446666666667	0.974026666666667	0.139666666666667	0.920143333333333
Tregs	0	1	0.146586666666667	0	0.34666	0.73499	0.00566666666666671	0.0183133333333333	0.114163333333333	0.0461566666666666	0.0486	0.02214	0.0896533333333334	0.0526433333333334	0.112513333333333	0	1	0.0193466666666666	0.0391366666666667	0	0	0	1	0.05614	0	0.0162966666666666	0	1	0.10869	0.01017	0	0.416953333333333	0.0488499999999999	0.0544566666666667	0	0.0377266666666667	0	0.0218166666666667	0.00743666666666665	0	0.00377000000000005	0.385543333333333	0.02111	0	0	0.300823333333333	0.0260466666666667	0.00548333333333328	0	0.317406666666667	0.0228733333333333	1	0.00317666666666672	0	0.256386666666667	0.00226000000000004	0.04008	0.0077166666666667	0.0232266666666666	0.00519666666666663	0.04976	0.111443333333333
aDC	0.0508433333333334	0	1	0.38209	0	0.0533833333333333	0	1	1	0	1	1	0.0745966666666666	0.505283333333333	2.000000000002e-05	1	1	0.0266133333333334	0.0362666666666667	0.736496666666667	0	0.2762	0	0.04055	0	0.32531	0	6.33333333333042e-05	0.18772	0	0	0.493166666666667	1	0.02463	0.580026666666667	0.255546666666667	0.716623333333333	0.195243333333333	0.390456666666667	0	9.66666666666338e-05	0.00345333333333331	0.882863333333333	0	0.07635	0.0151633333333333	1	0.400996666666667	0	0.433253333333333	0.0419966666666667	0	0	0	0.836656666666667	0.155903333333333	0.417916666666667	0	1	0	0.0283533333333333	1
cDC	1	0.0892866666666666	0.0114866666666666	0.0807433333333333	0	1	0.0246266666666667	1	1	0.00384666666666666	1	0.698086666666667	0.12977	0.39097	1	1	0.33106	0.0797766666666667	0.000279999999999947	0.11812	0	0.0371933333333333	1	0.244416666666667	0	0	0	3.33333333335517e-06	1	0	0.0103366666666667	1	1	0.508706666666667	0	1	1	0.01281	1	0	0	0.0446299999999999	0.0250899999999999	0.155716666666667	0.0179766666666666	0.25792	1	1	0	1	0.77044	0.39516	0.46277	0.0312966666666666	1	0.00556000000000001	0.224056666666667	0.01712	0.502776666666667	0	0.0581966666666667	1
iDC	1	0	0.256593333333333	0.000650000000000039	0	0.0996933333333333	0.952156666666667	0.543243333333333	7.00000000000145e-05	0.000140000000000029	0.0752166666666667	0.0292133333333333	0.608823333333333	0.504466666666667	0.19231	0.00381666666666669	9.33333333332786e-05	0.0130466666666667	1.66666666666648e-05	0	0.648176666666667	0.35688	0.00710333333333335	0	0	0.0477833333333333	0	0.00426000000000004	0.70983	0.322186666666667	0.344043333333333	0.54073	1	0.854956666666667	0	1	0.55305	0.000140000000000029	0.017	0.437673333333333	0.0264933333333334	0.0292133333333333	0.00161	1	0	0.06404	1	1	0	0.85979	0	0.461193333333333	1	0.509463333333333	1.66666666666648e-05	0.0469533333333333	0.0709233333333333	0.893426666666667	0	0	0.44481	0.94948
ly Endothelial cells	0	0	0	0	0	0	0	0.161883333333333	0.000110000000000054	0	0.19174	0.00518333333333332	0	0	0	0	0.764976666666667	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40488	0	0	0.125866666666667	0.330083333333333	0	0	0	1	0	0.0689233333333333	0	0	0	0	0	0.234893333333333	0	0.00169666666666668	0	0	0	0	0	0	0	0	0
mv Endothelial cells	0	0	0	0	0	0	0	0.491163333333333	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0623533333333334	0	0	0	0	1	0	0.18292	0	0	0	0	0	0	0	0.01379	0	0	0	0	0	0	0	0	0
naive B-cells	1	1	1	1	1	1	1	1	1	0.05916	0.000763333333333338	0.11293	1	1	1	1	1	0.0174533333333333	0.259603333333333	0.05657	0	0.230053333333333	1	0.0749366666666667	0.184956666666667	1	0.07348	1	1	1	0.16807	1	1	1	0.0280433333333333	1	1	1	1	0.0441033333333334	0.0488499999999999	1	0.05916	0.0165433333333334	1	1	1	1	0	1	1	1	1	0.00827	1	1	1	0.0297366666666666	1	0.0984066666666666	1	1
pDC	0.64875	1	0.184353333333333	0.332673333333333	0.221296666666667	1	0.81112	0.481783333333333	1	0.0461266666666666	0.01815	0.309023333333333	0.169036666666667	0.0687966666666666	1	0.73466	1	0.0687966666666666	0.39613	0.0295833333333333	0.95688	0.41335	0.81112	1	0.569596666666667	0.214526666666667	0.127966666666667	0.82382	0.789633333333333	1	1	0.80788	0.74612	1	0.107396666666667	0.95688	1	0.70518	0.694496666666667	1	0.42729	0.09842	0.16423	0.45907	1	0.92023	0.28402	0.942823333333333	0.312466666666667	1	1	1	0.0658866666666666	0.377323333333333	0.11893	0.36623	1	1	0.57427	1	0.0769300000000001	0.789633333333333
pro B-cells	0.36706	0.268573333333333	1	1	0.22371	0.26423	0.598383333333333	0.179766666666667	0.643843333333333	0.316746666666667	0.07017	0.266916666666667	0.439416666666667	0.462043333333333	0.55601	1	0.876476666666667	0.191713333333333	0.519166666666667	0.186666666666667	0.581193333333333	1	0.0559133333333334	0.300566666666667	0.255423333333333	1	0.537766666666667	0.24702	1	0.904883333333333	0.135066666666667	0.242203333333333	0.78907	1	1	1	1	1	0.708126666666667	0.530576666666667	0.76878	0.288596666666667	0.66917	0.371293333333333	1	0.69034	0.345656666666667	1	0.302343333333333	1	0.856196666666667	0.32029	0.426356666666667	0.3616	0.02261	0.18522	0.868063333333333	0.230263333333333	1	1	0.3942	1
