FDR;decoy_rate;cohort
0.000933053;0.75;PRAD
0.000960879;0.75;PRAD
0.004732928;0.75;PRAD
0.004332611;0.75;PRAD
0.000669792;0.75;PRAD
0.002364066;0.75;PRAD
0.004311894;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0.01033668;0.75;PRAD
0.011509048;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
0;0.75;PRAD
