	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110	V111	V112	V113	V114	V115	V116	V117	V118	V119	V120	V121	V122	V123	V124	V125	V126	V127	V128	V129	V130	V131	V132	V133	V134	V135	V136	V137	V138	V139	V140	V141	V142	V143	V144	V145	V146	V147	V148	V149
CD8+ Tcm	0	0	0.06751	0.01944	0.204796666666667	0.132366666666667	0.0538	0.01849	0.19563	0.21334	0.237503333333333	0.239896666666667	0.00547333333333333	0.0016733333333333	0.00151333333333337	0	0.0339966666666667	0.00378000000000001	0.13881	0	0.16298	0	0.152506666666667	0	0	0.0244799999999999	0.04086	0	0	0.02068	0	0.0108533333333334	0.259723333333333	0.136133333333333	0.01457	1	0.0775633333333333	0.179893333333333	0.151273333333333	0.200466666666667	0.0387733333333333	0.0297666666666667	0	0.0517366666666667	0.0473066666666667	0.0205533333333333	0.129376666666667	0.0470433333333333	0.0569466666666667	0.0881066666666667	0.0285866666666666	0.24651	0.27798	0.11319	0.287846666666667	0.0990533333333333	0.09419	0.0211366666666667	0.463786666666667	0	0.125953333333333	0	0.308733333333333	0.26674	0.0504466666666666	0.712706666666667	0.11367	0.137686666666667	0	1	0.0213433333333334	0.22718	0.01866	0.0645066666666667	0.155306666666667	0.103363333333333	0.0853233333333333	0.0154666666666666	0.000219999999999998	0.17924	0.000160000000000049	0.105873333333333	0.00738000000000005	0.111386666666667	0.00234666666666672	0	0.141903333333333	0.399406666666667	0.08957	0.14091	0.27893	0.01944	0.184926666666667	0.0569466666666667	0.276	0	0.0705166666666667	0.0322933333333333	0.09419	0.103363333333333	0.156513333333333	0.00800333333333336	0.16556	0.00774333333333332	0.0239233333333333	0	0	0.17732	0	0.0907066666666667	6.66666666671034e-06	0.173776666666667	0.17115	0.0687333333333333	0	0.0824833333333334	0.151896666666667	0.0025466666666667	0.0724900000000001	0	0.0205533333333333	0.0378633333333334	0.0387733333333333	0.182486666666667	0.00881666666666669	0	0.14301	0.290896666666667	0.0319466666666667	1	0.30578	0.0561733333333333	0.0690733333333333	0.158826666666667	0.136133333333333	0.701646666666667	0.429796666666667	0.0477833333333333	0	0	0.0603833333333333	0.157713333333333	0.20114	0.0127966666666667	0.0200733333333334	0	0.742433333333333	0.0713766666666666	0.0354533333333333
CD8+ Tem	0.04448	0.945056666666667	1	1	0.385256666666667	1	1	1	1	1	1	1	1	1	1	0.59317	1	1	1	0.527533333333333	1	0.160123333333333	1	0.75787	0.374013333333333	1	1	0.723616666666667	0.625483333333333	1	0.579713333333333	0.801193333333333	1	1	1	1	1	1	1	1	1	1	1	0.34576	1	1	0.976143333333333	1	1	1	1	1	1	1	1	1	1	0.995196666666667	1	0	1	1	1	1	0.969956666666667	1	1	1	0.52831	1	0.864723333333333	1	0.926876666666667	0.98418	1	1	1	1	1	1	0.915503333333333	1	1	1	1	1	0.841763333333333	1	1	1	1	0.962716666666667	1	1	1	0.231773333333333	1	1	1	1	1	0.829856666666667	0.935836666666667	0.60183	1	0.190176666666667	1	1	1	0.79916	0.623633333333333	1	0.810806666666667	1	1	1	1	0.544023333333333	0.82539	1	1	1	1	1	1	0.6617	1	1	1	1	1	1	1	0.47085	1	1	0.695436666666667	1	1	0.119113333333333	1	1	1	1	1	0.345193333333333	1	0.559363333333333	1
CD8+ naive T-cells	0	0.159503333333333	0.0644033333333334	0.0302166666666667	0	0	0.279656666666667	0	0	0	0	0.00743666666666665	0.0210566666666666	0	0.466906666666667	1	6.66666666671034e-06	0	0	0.16092	0	0.0873266666666667	0	0.00839333333333336	0.0989666666666666	0	0.0368366666666666	0.00812000000000002	1	1	0.22821	0	0	0.00951000000000002	0.586943333333333	0	0	0.000493333333333346	0	0	0	1	0.0178133333333333	0	7.00000000000145e-05	0	0	0	0	0	4.000000000004e-05	0	0	0	0	0	0	0	0	0	0	0.211663333333333	0	0	0	0	0.00801333333333332	0.185106666666667	0.0116033333333333	0	0	0	0.000410000000000021	0	0	0	0	0	1	0	0.0306233333333333	1	0.274996666666667	0.0251233333333334	0	0.24361	0	0	0	0	0	0	0	0	0	0.000850000000000017	0.00469666666666668	1	0.00827	0.224523333333333	0	6.66666666671034e-06	0	0	0	0	0.374473333333333	0	1	0	0.257793333333333	0	0	0.24965	0.54854	0	0	0.03237	0	0	0	0	0	0	1	0	0	3.33333333335517e-06	0	0	0	0	0	0	0.00339	0	0	0.0201233333333334	0.0666866666666667	1	0	0	0	0	1	0.00764333333333334	0	0.118483333333333	0
CLP	0.0382933333333333	0.195423333333333	0.128016666666667	0.22861	0	0	0.0183266666666667	0	0	0	0.26875	0.00921000000000005	0.0437666666666666	0.0233266666666667	0.0047666666666667	0.291546666666667	0	0.00636999999999999	8.66666666666793e-05	0.25013	0	0.8619	0.150753333333333	0	0	0	0.331266666666667	0.05275	0.000896666666666657	1	0.0701933333333333	0.0321766666666666	0.01797	1	0.0725766666666666	0	0.0233266666666667	0.15454	0	0.0686600000000001	0	0.96069	0.1886	0	0.12599	0	0.0739866666666666	0	0	0	0.000173333333333359	0.00238333333333329	0.377266666666667	0.710446666666667	0.286433333333333	0	0	0.97591	0.0443366666666667	0	0.0437666666666666	0.000659999999999994	0	0	0.172453333333333	0	0.343633333333333	0.22861	0	0.26717	0	0.00690000000000002	0	0.0409866666666666	1	0.05669	0	0	0.128016666666667	0	0.08602	0.21983	0.00402000000000002	0.16971	0	0.0133433333333334	0	0	0.0947166666666667	0	0	0.0398866666666666	0.00126999999999999	0	0.0546433333333334	0	0.0771066666666667	0	0	0.0461133333333333	0	0.684966666666667	8.66666666666793e-05	0.0771066666666667	0	0	0	0.0112	0.00132333333333334	0.09977	0	0	0.35599	0.0145333333333333	0.07795	0	0.35599	0.320446666666667	0	0.212206666666667	0.12496	0	0	0	0.251746666666667	0.180456666666667	9.9999999999989e-05	0.615633333333333	0	0	0	0.146126666666667	0.480736666666667	0.261003333333333	0.132403333333333	0.132403333333333	0	0.528333333333333	1	0.146126666666667	0	0	0	0	1	0	0.0818366666666667	0.424583333333333	0
CMP	0.12335	0.0510699999999999	0.954346666666667	0.335896666666667	1	0.63873	0.16646	1	0.734563333333333	0.102066666666667	0.144376666666667	0.00796333333333332	0.113146666666667	0.0819433333333334	0.356793333333333	0.12991	1	0.0229966666666667	0.52645	1	0.902286666666667	1	0.349376666666667	0.202823333333333	0.14151	0.0737633333333333	0.15695	0.0490866666666666	1	0.0593133333333333	1	1	1	0.08424	0.289723333333333	0.26761	0.612133333333333	0.331643333333333	0.31158	0.183126666666667	1	0.0428866666666666	0.131096666666667	1	0.0853266666666667	0.753056666666667	0.244623333333333	0.6922	1	0.419223333333333	1	1	1	0.10843	0.0434466666666666	0.324566666666667	0.15695	0.116573333333333	0.466293333333333	1	0.00505666666666671	0.334486666666667	0.15328	1	0.31815	0.805373333333333	1	0.454026666666667	0.03861	0.16028	0.929576666666667	1	0.264456666666667	0.06029	0.10182	0.38726	1	0.374206666666667	0.437826666666667	0.153976666666667	0.551036666666667	0.161546666666667	0.226643333333333	0.252203333333333	0.430346666666667	0.325866666666667	0.862806666666667	1	0.162413333333333	0.0601533333333333	0.19142	0.33883	0.54126	0.170196666666667	0.245443333333333	1	0.304976666666667	0.182046666666667	1	0.18682	0.09658	0.536236666666667	0.97625	1	0.0856833333333333	0.106653333333333	0.768263333333333	0.55864	0.216343333333333	0.172586666666667	0.11887	0.663263333333333	1	0.256066666666667	0.250126666666667	0.0532733333333333	1	0.15099	1	0.0447233333333333	0.226643333333333	1	1	0.470373333333333	0.143733333333333	0.0992433333333334	0.105003333333333	0.258126666666667	0.38055	0.14055	0.0424933333333334	0.120616666666667	0.0435966666666666	1	0.157453333333333	0.14586	1	0.500846666666667	0.0790266666666667	1	0.221783333333333	0.466293333333333	0.0620166666666667	1	0.110776666666667	0.304976666666667	1	0.15439	0.21337
Chondrocytes	0.00121666666666664	0.00654333333333335	0	0	0	0	0	0	0	1	0	0	0.00407999999999997	1	0	0	0	0.0638	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.03371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03546	0	0	0	0.05487	0	0	0	0	0	0	0	0	1	0	0.00512999999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06146	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0192066666666667	0	0	0.000800000000000023	1	1	0	0	0.0229	0	0	0	0	0	0	1	0	6.66666666671034e-06	0	0	0	0	0	0
Class-switched memory B-cells	0.114986666666667	0	0.110606666666667	0	0	1	1	0	1	1	1	0	0.582606666666667	0.07675	0	0	0.40097	0	0.40097	0	0.505363333333333	0	0	0.25768	0.0456800000000001	0.03244	1	0.339326666666667	0	0.00285333333333337	0.00212999999999997	0.000813333333333333	0.446783333333333	0.179973333333333	1	1	1	0	1	0	0.146923333333333	0	0.220826666666667	0.00724000000000002	0.389046666666667	0.00102999999999998	0	0	0	1	0.8205	0.000813333333333333	1	0.0172866666666667	1	0	1	0	0.570616666666667	0	1	0.01434	0.8205	0.67111	0.00742666666666669	1	1	0	1	0.51232	0.295463333333333	0.00187999999999999	0.000323333333333342	1	1	0.0126766666666667	0	0	0	0.174463333333333	0.00742666666666669	0.00503333333333333	0.55167	0	0.213343333333333	0	0.558783333333333	0.56345	0	0.01211	0	0.164853333333333	0	0.41536	0	0	0.00416666666666665	0.503173333333333	0	0.0191933333333333	0.507723333333333	0	1	0	0	0.01623	0.0590366666666666	1	0.331743333333333	0	0	0.00973666666666662	1	0.587336666666667	0	0.00664666666666669	0.100963333333333	0	0.642563333333333	1	0.0318866666666666	0.297143333333333	0	0.0529866666666666	0	0	1	0.0227866666666666	1	1	0.00177000000000005	0	0	0.453166666666667	0.0552433333333333	0.0330466666666667	1	0.157156666666667	0	0	0.624723333333333	0	0.23651	0	0	0	1	0	0
DC	0	0.0565433333333333	0	0	0	0	0	0	0	0.0136733333333333	0	0	0	1	0	0	0	0	0	0	0.0882933333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28786	0	0	0	0	0	0	0.0139833333333333	0	0	0	0.00433666666666666	0	0.168123333333333	0	0	0	0.0222933333333334	0	0.06313	2.66666666666193e-05	0.0341866666666667	0	0	0	0.0758766666666667	0	0	0	0.000193333333333379	0	0	0	0	0	0	0.04389	0	1	0	0.00217000000000001	0	0	0	0	0	0	0	0	0.00124999999999997	0	0	0	0	0	1	0	0.54865	0	0	0	0.06398	0	0.000586666666666624	0	0	0	0.00974333333333333	0	0	0	0	0	0	0	0	0	0.0388166666666667	0.00124999999999997	0	0.330056666666667	0	0	0	0	0	0	0	0	0	0	0	0.0017166666666667	0.16971	0.47851	0.0182466666666666	0.000149999999999983	0	0	0	0.06045	0	0.00217000000000001	0	0	0.0139833333333333	0	0	0	0	0	0	0	0
Endothelial cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0590933333333333	0	0	0	0	0	0	0	0	0	0	0	7.33333333333697e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150473333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.00846999999999998	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10984	0	0	0	0	0	0	0	0
Eosinophils	0.6089	1	0.0915766666666666	0.102153333333333	0.59531	0.0394733333333334	0.402626666666667	0.0126500000000001	0.0260733333333333	0.431076666666667	0.02464	0.13315	0.0507233333333333	1	0.108696666666667	0.355273333333333	6.66666666671034e-06	1	0.413763333333333	0.03309	0	0.864256666666667	0.000156666666666694	0.214893333333333	1	0.245293333333333	0.14654	0.0377066666666667	0.1176	0.40601	0	0.0139666666666667	0	0.0401766666666666	0.0906033333333334	0.203126666666667	0.110373333333333	0.337973333333333	0.47131	0.413136666666667	0	0.16723	0	0.00521333333333329	0.197666666666667	0.185536666666667	0.322483333333333	0.03727	0.0106133333333334	1	0	0.02093	0.0961566666666667	0.12359	0.710216666666667	0.0512899999999999	0.234476666666667	0.0887933333333333	0.05084	0.386046666666667	0.440343333333333	1	0.02739	0.08294	0.68566	0.0463	0	0	0.16753	0.02416	0.00743666666666665	0.01369	0.0502466666666667	0.874623333333333	0.402626666666667	0.08263	0.202323333333333	0.173963333333333	0.177703333333333	0.468246666666667	0.0360566666666666	0.161863333333333	0.460613333333333	0.0385166666666666	0.231166666666667	0.218766666666667	0	0.0051633333333333	0.372516666666667	0.06586	1	0.224936666666667	1	0.815706666666667	0.464476666666667	0.332586666666667	0.0189466666666667	1	0.000363333333333382	0.288443333333333	0	0.0475233333333334	0.369413333333333	0	0.9279	1	0.2091	0.0769533333333333	0.20193	0.07582	0.197973333333333	0.11667	0.0239166666666667	1	0.181366666666667	1	0.0190466666666667	0.104973333333333	0.0490699999999999	0.207246666666667	0.04814	0.26445	0.116446666666667	0.35408	0.610956666666667	0.06342	0.00790999999999997	0.00212333333333337	0.740906666666667	1	0.594393333333333	0.31004	0.354643333333333	0.0318433333333333	0.0585833333333333	0.200086666666667	0.190526666666667	0.0292933333333333	0.0996833333333333	0.409203333333333	1	0.107163333333333	0.32956	0.282376666666667	0.192726666666667	1	0.0806766666666666	0.21455	0.55875
Epithelial cells	0	0	0	0	0	0	0	0	0	0	0	9.99999999995449e-06	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0381333333333334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0206933333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0745233333333334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000496666666666701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erythrocytes	1	1	0.753153333333333	1	0.142906666666667	1	0.0362333333333333	1	1	1	1	0.00603333333333333	1	1	1	1	1	0.926886666666667	0.12521	0.21929	1	1	1	1	0	1	1	1	0.510126666666667	1	1	1	1	1	3.33333333333297e-05	0.00183333333333335	1	0.03808	1	1	0.537	1	1	1	1	1	1	1	1	0.0283566666666667	0.00809000000000004	1	1	1	1	0.0291933333333333	0.114866666666667	1	1	1	1	1	1	0.127036666666667	1	1	1	0.000216666666666643	1	1	1	1	1	1	1	1	0.000716666666666699	1	1	1	0.00235666666666667	1	1	1	1	1	1	0.21929	1	1	0.00596333333333332	1	0.0319366666666666	1	1	1	1	1	0.00235666666666667	0.0531366666666667	1	1	1	1	0.000909999999999966	2.66666666666193e-05	0.0340533333333334	1	1	1	0.0458333333333333	1	1	1	1	1	1	1	1	1	0.0608566666666667	0.23425	1	0.48429	1	1	1	1	1	0.0191766666666666	0.00188999999999995	1	1	1	1	0.06773	1	1	1	1	1	1	1	1	1	0.03667	1	1	0.321833333333333
Fibroblasts	0.0276333333333333	0	0.348956666666667	0.00861000000000001	0	0	0	0.0116233333333333	0	0.0964366666666666	0	0.232066666666667	0	0.0763833333333334	0	0	0	0.395353333333333	0	1	0	0.214103333333333	0	0	1	0	0.0740933333333333	0	1	1	0	0	0	0	1	0.144796666666667	0	0	0	0	1	0	0	1	0	1	0	0	0.0369333333333334	0.0067166666666667	0.0718233333333334	0	0.00553666666666663	0	0.0322133333333333	0	0.0557733333333333	1	0	0.32412	1	0	0	0	0.102976666666667	0	0	0.000306666666666677	0	0	0	0	0	0.00185666666666662	0	0.000390000000000001	0.01719	0.0777466666666666	0	0	1	0	0	0	0	0	0	0	0.0337566666666667	0	0	0	0.16915	1	0.19729	0	0	0	0.000456666666666661	0	0	0.13689	0.0132966666666666	0	0	1	0	0	0	0	0	0	0	0	0	0.0281933333333333	0.00978999999999997	0.00363000000000002	0.470923333333333	0	0	0.219866666666667	0	1	0	0	0	0	0	1	0.21909	0	0	0.40145	0.0109566666666666	0	0	0.20119	0.0546	0	0.00447333333333333	0	0	9.66666666666338e-05	0	1	0	0	0
GMP	0.763136666666667	0.70073	1	0.56031	1	0.81251	0.548163333333333	1	1	0.808653333333333	0.81381	0.60374	0.643666666666667	1	0.738963333333333	0.404953333333333	1	0.85803	1	0.7176	1	0.55481	0.855176666666667	0.24254	0.86528	1	0.594213333333333	0.456823333333333	0.45941	0.505906666666667	0.96437	1	1	0.720693333333333	0.561206666666667	1	1	0.299573333333333	0.469323333333333	0.80499	1	0.43769	1	1	0.688153333333333	1	1	0.895093333333333	1	1	1	1	1	1	0.270516666666667	1	1	1	1	1	0.67473	0.30809	0.51743	1	1	0.58758	1	0.57592	0.203176666666667	0.246193333333333	1	1	1	0.796313333333333	0.420266666666667	1	1	1	0.431736666666667	0.81381	0.607496666666667	1	0.536526666666667	0.5932	1	0.70073	1	1	0.722863333333333	0.357356666666667	1	1	1	0.421023333333333	1	1	1	0.456823333333333	1	1	0.452786666666667	0.741043333333333	1	0.505043333333333	1	0.630423333333333	0.63411	1	0.549133333333333	0.403296666666667	0.783983333333333	0.525566666666667	1	1	0.811156666666667	1	1	0.533833333333333	1	1	1	1	1	1	0.739983333333333	1	0.222493333333333	0.882196666666667	1	1	0.572136666666667	1	0.55566	1	0.326136666666667	1	1	1	0.811156666666667	1	1	1	0.676773333333333	0.845333333333333	0.690083333333333	1	1	0.465093333333333	1
HSC	0.127176666666667	1	0.000343333333333362	0.00805333333333336	0	0.0819533333333333	0	0.00812000000000002	0	0.561473333333333	0	0.0812033333333333	1	1	0	0	0.0199166666666667	0.794023333333333	0.0984066666666666	0.0455133333333333	1	0	0	0.00653666666666664	1	0.28324	0.0865566666666666	0	0.137333333333333	0.00400999999999996	0.0103266666666667	0	0	0.00969666666666669	0.02534	0.649613333333333	0.0140966666666666	0	0	0.0265566666666667	0	0.0313433333333333	0.00805333333333336	0.794023333333333	0	0.09163	0	0.10852	0.12282	0.0190366666666667	0.5288	0	0.0861366666666666	0.11109	0	0.262126666666667	0.354086666666667	0.00929333333333338	0	1	0.786853333333333	4.66666666666393e-05	0	0.07465	0.700023333333333	0	0	6.66666666666593e-05	0	0	0.0988	0.00944666666666671	0	0.402863333333333	0	0.171426666666667	0.0543766666666666	0.00782666666666665	0	0	0.02534	0.56817	0	0.0328633333333334	0.16015	0.04305	0	0	0.135706666666667	0	0.118603333333333	0.00838000000000005	0.134503333333333	1	0.0977833333333333	0	0.0648366666666667	0	0.18663	0.07283	0	0.0762033333333333	0.62747	0	0.140946666666667	1	0	0	0	0	0.05014	0	0	1	0.39259	0.620323333333333	0.19705	0.0331133333333333	0.164606666666667	0	0.11489	0.336243333333333	0.00126333333333328	0.145043333333333	0.0264633333333333	0.205406666666667	0	0.0160766666666666	0.151193333333333	1	0.701736666666667	0.15598	0	0.199066666666667	0	0	0.12995	1	0.0548166666666666	0.0265566666666667	1	0.01326	0.0334	0	0.21155	0.26492	0	0	0.0159866666666667
Hepatocytes	1	0	0	0	0.06965	0	0	0	0	0	0	1	0	0	0	0.436606666666667	0	1	0	0.331183333333333	0	1	0	0.848283333333333	0.0534733333333334	1	0	0.460513333333333	0	0.73791	1	0	0.000166666666666648	0.0245833333333333	0.960553333333333	0.585256666666667	0	1	0	0.000589999999999979	0.186393333333333	0	0	0	0	0.06965	0	0	0	0	0.000256666666666683	0	0	0	0	0.02154	0	1	9.99999999995449e-06	0.668553333333333	0	0	0	0	0	0	0	1	0	0.104386666666667	0	0	0	0	0	0	1	0.989933333333333	0	0	0	0	0	0	0	0	0	0.109243333333333	0.986163333333333	0	0	0.1582	0	0	0.0439566666666666	0	0	0	0.269593333333333	0	0.196133333333333	1	0	0.431823333333333	0	1	0	0	0	0	1	0.412863333333333	0	0	0.0910566666666667	0.254063333333333	0.00494000000000006	0	0.00102999999999998	0.00699666666666665	0.918913333333333	0	0	0.569973333333333	0	0.51974	0.00180000000000002	0.00250666666666666	0	1	0.00814666666666664	1	0	0	0	1	0	0.250036666666667	0.0206333333333333	0	0	0	0	0.289806666666667	0	0	0.326923333333333	0.884386666666667	0
Keratinocytes	0	0	0	0	0	0	0	0	0	0	0	0.000496666666666701	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04258	0	0	0	0	0	0	0	0	0	0	0	0	0
MEP	1	0.33362	0.0396333333333333	1	0.00309999999999999	0.486783333333333	1	0.1044	1	0.04994	1	0.20721	0.486783333333333	0.15156	1	1	0.165833333333333	0.17468	0.126933333333333	0.171536666666667	0.000356666666666672	1	0.0434966666666666	1	0.0495233333333334	0.0935966666666667	0.297953333333333	0.164296666666667	0.122506666666667	0.249946666666667	1	1	1	1	0.126933333333333	0	1	0.0867966666666666	1	1	0.0158333333333334	1	1	0.00120666666666669	1	0	1	0.07689	0	0.07262	0.33362	0.186956666666667	0.0432266666666666	1	1	1	0.184166666666667	0.184696666666667	0.12467	1	0.103763333333333	1	0.203373333333333	0.228126666666667	0.0110033333333334	0	1	0.253863333333333	0.0444133333333333	0.403483333333333	0.01054	0.237826666666667	1	0.0831033333333333	1	1	0.01969	0	1	0.277543333333333	0.22127	1	1	1	0	1	0.0697233333333334	0.14983	0.04887	0.20027	0.0652866666666667	0.184696666666667	0	0	0.0154	1	0.0985066666666666	1	0.0190366666666667	1	0.0821566666666667	0.0473633333333333	0	1	0.0588833333333333	0.07343	0.764783333333333	1	1	1	1	0.0612633333333333	1	1	1	0.11591	0.0521033333333333	1	0	0.101493333333333	0.18755	0	0.0645566666666667	0	1	1	1	1	0.0095466666666667	0	0.0702766666666667	0.14145	1	0.0340266666666666	1	1	0.163123333333333	1	0.764783333333333	1	0.0461633333333333	0.0934	0.4273	0.0216533333333333	1	0.03077	1	1	0.611306666666667
MPP	0.124273333333333	0.47108	0.971026666666667	0.771656666666667	1	0.681303333333333	1	0.566416666666667	0.665556666666667	0.451363333333333	0.988566666666667	0.60657	0.532406666666667	0.48859	0.738736666666667	0.0201033333333334	0.535833333333333	0.343623333333333	0.94957	0.294176666666667	0.735463333333333	0	0.375353333333333	0.48859	0.165043333333333	0.74354	0.70695	0.644336666666667	0.0121166666666667	1	0.220056666666667	0.101043333333333	1	1	1	0.754923333333333	1	1	0.789053333333333	0.40412	0.93012	0.151353333333333	0.976336666666667	0	0.86717	0.757446666666667	0.946436666666667	0.233203333333333	0.642783333333333	1	1	1	1	1	1	1	0.914043333333333	1	0.585316666666667	0	0.664796666666667	0.346713333333333	1	0.384236666666667	0.896633333333333	0.285793333333333	0.9373	0.62393	0.18873	1	0.324603333333333	1	1	0.506303333333333	1	0.914906666666667	0.0531466666666667	0.337293333333333	0.738736666666667	0.669536666666667	0.21292	0.935743333333333	0.89331	0.596896666666667	0.748573333333333	0.26459	0.200236666666667	1	0.740353333333333	0.725613333333333	1	0.394906666666667	1	0.146436666666667	0.711613333333333	0.00151333333333337	1	0.866296666666667	0.933363333333333	1	0.768216666666667	0.262213333333333	0.285793333333333	0.209366666666667	1	0.153903333333333	0.902473333333333	0.998926666666667	1	0.09899	0.11635	0.3142	1	0.919613333333333	1	0.728946666666667	0.470396666666667	0.05255	0.235443333333333	1	0.59184	0.363343333333333	0.415603333333333	0.381133333333333	0.83001	0.13614	0.81755	0.996523333333333	0.432373333333333	0.918726666666667	0.196223333333333	0.697373333333333	0.48013	0.0908666666666667	0.638883333333333	1	0.52804	1	0.886036666666667	0.07848	0.7093	1	0.438426666666667	0.768216666666667	0.458956666666667	0.08967	1	0.789053333333333	0.57657
MSC	0.15877	0	0	0.323023333333333	0	0	0	0	0	0	0.0159666666666667	0	0	0	0.389233333333333	0	0.0843966666666667	0	0	0.203366666666667	0	1	0.08683	0.0193866666666667	0.295266666666667	0	0	0.12329	0	0.0439833333333334	0.00212333333333337	0	0.246713333333333	0.0350733333333333	0	0.155373333333333	0.00212333333333337	0.0186666666666667	0.0777066666666667	0	0	0	0	0	0	0	0	0	0	0	0.0019433333333333	0	0	0	0	0.05335	0	0.0526266666666667	0	0.0147033333333333	0	0.242513333333333	0	0	0	0	0.0271966666666666	0.0348966666666667	0	0.9083	0	0	0.291116666666667	0	0	0.04617	0.207623333333333	0	1	0	0.000920000000000032	0	0.0227000000000001	0.00348000000000004	0	1	0	0	0	0.0619833333333333	0	0	0	0	0	0.32176	0.0253266666666667	0.41415	0	0	0	0	0	0.25212	0	0	0.272886666666667	0	1	0	0.0190833333333333	0	0.756323333333333	0	1	0	0	0	0	0.00212333333333337	0	0	0	0	0	0	0.125026666666667	0.194693333333333	0	0	0	0	0	0	0	0.0304633333333333	0	1.33333333333097e-05	0.103683333333333	0.469056666666667	0	0	0	0	0.329683333333333	0	0.00467666666666666	0.132723333333333	0.0260666666666667
