	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81
Th1 cells	0.290673333333333	0.0594633333333333	0.827623333333333	0	0	0.0230266666666666	0.215966666666667	0.00661333333333336	0.05009	0.214293333333333	1	0.58424	0.00117666666666671	0.06865	0	0.914336666666667	0.137576666666667	0.414246666666667	0.00823666666666667	0.09255	0.03416	0	0.02389	0	0.0041566666666667	4.66666666666393e-05	0.416043333333333	0.0247133333333334	0.59639	0.317743333333333	0.26504	0.906823333333333	0	0.0404766666666667	0	0.8481	0	0.35791	0.0168066666666666	0.01768	0.0396533333333333	0	0	0.494443333333333	0.241583333333333	0.46788	0.456603333333333	0.722196666666667	1	0.0530866666666666	0.384043333333333	0	0.0133966666666666	0.0198266666666667	0.06806	0.562683333333333	0.00713666666666668	0.0125433333333334	0.0381333333333334	3.33333333335517e-06	0.0232533333333333	0.0708466666666666	0.00183	1	0.00206666666666666	0.11345	0	0.0778866666666667	0.217973333333333	0.01768	0.531393333333333	0.00839666666666672	0.00446666666666662	0.301676666666667	0.52012	0.0269033333333333	0.00237333333333334	0.165293333333333	0	0.390566666666667	0.134743333333333
Th2 cells	0.68843	0.880903333333333	0.76861	1	1	1	0.872676666666667	0.671043333333333	0.692476666666667	0.671043333333333	1	1	0.990693333333333	0.797486666666667	1	1	1	0.679833333333333	0.516203333333333	1	1	0.83894	1	1	1	0.648783333333333	0.414196666666667	1	0.70689	0.31576	0.35099	1	1	0.524306666666667	1	0.557226666666667	1	0.545253333333333	1	0.930363333333333	1	1	1	1	0.708233333333333	0.305986666666667	0.483386666666667	0.934546666666667	0.62193	1	1	1	1	1	0.76861	0.365516666666667	1	1	0.94287	0.929026666666667	1	0.955736666666667	1	0.751606666666667	1	0.83755	0.656173333333333	1	0.26563	1	1	1	0.35205	1	0.944263333333333	0.846966666666667	1	1	1	0.895043333333333	0.700146666666667
Tregs	0.01612	0.0614766666666666	0	1	1	0.0337333333333333	0.01392	0.0464033333333334	0	0.0273099999999999	0	0	0.514886666666667	0.00970333333333329	0.79938	0	0.03217	0	0.441456666666667	0	0.11656	0.46898	0.01906	1	0.169073333333333	0.123903333333333	0.0129933333333333	0.2137	0	0.00636999999999999	0.0477866666666666	0	1	0.0570766666666667	0.653626666666667	0	1	0	0.0521733333333333	0.23113	0.01564	1	0.600313333333333	0.00226000000000004	0.01949	0	0.0185166666666666	0	0	0.124893333333333	0	0.760076666666667	1	0.122703333333333	0.03744	0.01034	0.0594766666666666	0.0851833333333334	0.14831	0.0744333333333334	0	0.0111	0.0537166666666666	0.00162666666666667	0.0684266666666666	0.0730433333333333	0.148993333333333	0.00609333333333328	0.0441733333333333	0.276366666666667	0.00113333333333332	0.0201233333333334	0.0343566666666667	0	0.0167	0.03217	0.04671	0	1	0.0250566666666666	0.01886
aDC	0.772693333333333	0	0	0	0.00490000000000002	0	0	0	0	0.711326666666667	0	0.00768666666666662	0	0.03054	1	0	0	0.00361333333333336	0.05758	0	0.10201	0.0104466666666667	0	0	0	0.933306666666667	0	0	0.01057	0	0	0	0.479703333333333	1	0	0.241423333333333	0	0	0.00427333333333335	0.0283333333333333	0	0	0	0.0140066666666666	0	0.00327333333333335	0.0308933333333333	0	0	0	0	0	1	0.0195	0.0109433333333333	0.04852	0.00187000000000004	1	0.02699	0	1.33333333333097e-05	0.00148999999999999	0.496036666666667	0	1	0	1	0	0.59858	0.398476666666667	0	0.267133333333333	0	0	0	0.3027	0.223913333333333	0.702516666666667	0	0.865566666666667	0.32328
cDC	0.0648666666666666	0	0	0.0447066666666667	1	1	0	0.00531999999999999	0.0174966666666667	0.00458333333333338	0	0.00334999999999996	0.05823	0.244483333333333	1	0	0	0	0.204553333333333	0	0.0383233333333334	0.278583333333333	0.0936166666666667	0.00687666666666664	0.0207233333333333	0.0316666666666666	0	0.0343633333333333	0	0	0	0	0.0599033333333333	0.51403	0.0426533333333333	0	0	0.0527133333333333	1	1	0.000539999999999985	0	0.00727	0.0312133333333333	0	0	0.403753333333333	0	0.02402	0	0	0.35036	1	9.99999999995449e-06	0	0.0731266666666667	4.000000000004e-05	0.370113333333333	0	0.00261999999999996	0.02697	0	0.696563333333333	7.33333333333697e-05	0.115153333333333	0	1	0.0479466666666667	1	0.218786666666667	0	0.07599	0.000163333333333293	0	0.000443333333333351	1	0.0614366666666667	0.00302666666666662	0.01688	0.157626666666667	0.000496666666666701
iDC	0	0.421363333333333	0	0.480233333333333	0	0.84518	0.492403333333333	0.433106666666667	0.68615	0.00834999999999997	0.0616333333333333	0	0.889023333333333	0.823496666666667	1	0.0234066666666667	0.0625933333333333	0	0.987443333333333	0.835643333333333	1	0.23608	0.753236666666667	0.71118	1	0	0.317893333333333	1	0.0265366666666667	0	0.0664166666666667	0.0801633333333334	0.173946666666667	0.00803333333333334	1	0	0.0705666666666667	1	1	1	0.0390866666666667	0	0.41675	0.444676666666667	0	0	1	0.57018	1	0.257186666666667	0	0.456646666666667	0	0.94382	0.49748	0.451726666666667	0.708603333333333	0.928563333333333	0.383166666666667	0.516706666666667	0.444676666666667	0.309393333333333	0	0.00108666666666668	0	0.000126666666666719	0.000103333333333344	0.612006666666667	1	0.0057666666666667	0.00209000000000004	0.00512666666666661	0.587376666666667	0.14684	0.0153799999999999	0.76548	0.579953333333333	0	0.24724	0.01026	0.504713333333333
ly Endothelial cells	0	0	0	0	0	0	0.0578233333333333	1	0	1	0	0	0	0.233976666666667	0	0	0.0610066666666667	0	0	0	0	0	0	0	0.0588666666666666	0	0	0	0	0	0	0	0	0.179266666666667	0	0	0	0.0390533333333334	0	0.0889266666666667	0	0	0	0	0	0.00117666666666671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180803333333333	0	0.00728666666666666	0	0	0	1	0.212143333333333	0	0	0	0.823896666666667	0.03571	0	0	0	0	0	0	0	0
mv Endothelial cells	0	0	0	0	0	0	0.0884566666666666	0.552713333333333	0	1	0	0	0	0.00544999999999995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00426333333333329	0	0	0	0	0	0	0	0	0	0	0.05942	0	0	0	0	0	0	0	0	0
naive B-cells	1	1	1	1	1	1	0.04741	0.0223233333333334	1	0.16755	1	0.0549166666666666	1	1	1	1	0.0189133333333333	1	1	1	1	1	1	1	1	1	1	1	1	0.000319999999999987	0	0.0140666666666667	1	1	1	0.412946666666667	1	1	1	1	9.99999999995449e-06	1	1	1	1	1	1	0.03263	1	0.0696	1	1	1	1	1	1	1	1	1	1	0.00567333333333331	1	1	1	1	0.02749	1	0.0137766666666667	1	1	0.0352833333333333	1	0.10478	1	1	1	1	1	1	1	1
pDC	0.0386433333333334	1	1	0.639816666666667	0.324153333333333	0.00180333333333338	0.251023333333333	0	0.13027	0	0.34298	0	0.0470466666666667	0	0.357363333333333	0.151223333333333	0	0.300743333333333	0.0933433333333333	0.0137233333333333	0.02862	0	0.240526666666667	0.78122	0.103003333333333	0.0393066666666667	1	0.0592333333333334	0.104453333333333	0.257183333333333	0	0.26652	0.20901	1	0.168976666666667	0.0227466666666667	1	1	0.02769	0.0438666666666667	0.00630666666666668	0.322503333333333	0.178706666666667	0.324153333333333	0.920606666666667	0.163216666666667	0.976553333333333	0.74657	0.60089	0	1	0.0338133333333334	0.146016666666667	0.275723333333333	0.754933333333333	0.437896666666667	0.0367466666666667	0.0576566666666667	0.21571	0.123453333333333	0	0.552856666666667	0.09062	1	0.0421366666666667	0.0636066666666667	0.0216033333333333	0.0492233333333333	0.491686666666667	0.72481	0.0977633333333333	0.0532966666666667	0	0.719233333333333	1	0.366526666666667	0.0431866666666667	1	0.608136666666667	0.0632266666666667	0.113163333333333
pro B-cells	1	1	0.743166666666667	0.516723333333333	0.333973333333333	0.395336666666667	1	0.802043333333333	1	1	1	0.310193333333333	0.57171	1	0.26123	1	1	1	0.59473	0.921656666666667	0.29023	0.21212	1	0.362943333333333	0.298543333333333	0.751116666666667	1	1	1	0.301253333333333	0.30666	0.68635	0.57006	1	0.13117	1	0.199603333333333	0.784	0.281613333333333	0.79297	0.116506666666667	0.23978	0.44335	1	1	0.404943333333333	1	1	1	0.355196666666667	1	0.533846666666667	1	1	1	1	0.77014	1	1	0.402083333333333	0.258566666666667	1	0.340413333333333	1	0.860726666666667	0.283416666666667	1	1	1	1	0.67772	0.690646666666667	0.25475	1	1	0.814536666666667	0.976573333333333	1	0.647656666666667	1	1
