	TCGA.KK.A8I5.01	TCGA.KK.A7B3.01	TCGA.YL.A8HJ.01	TCGA.J4.A67S.01	TCGA.HC.A6AN.01	TCGA.VN.A88O.01	TCGA.XK.AAIR.01	TCGA.CH.5740.01	TCGA.V1.A8X3.01	TCGA.EJ.5505.01	TCGA.HC.7210.01	TCGA.J4.8200.01	TCGA.VN.A88R.01	TCGA.EJ.A65E.01	TCGA.KC.A7F5.01	TCGA.HC.7737.01	TCGA.EJ.5531.01	TCGA.HC.7736.01	TCGA.G9.6339.01	TCGA.KK.A8IL.01	TCGA.2A.A8VO.01	TCGA.G9.6369.01	TCGA.HC.8257.01	TCGA.EJ.A65B.01	TCGA.X4.A8KS.01	TCGA.HC.7744.01	TCGA.EJ.5510.01	TCGA.KK.A6E5.01	TCGA.HC.7211.01	TCGA.ZG.A9L2.01	TCGA.EJ.7315.01	TCGA.EJ.7792.01	TCGA.HC.A6HY.01	TCGA.2A.AAYU.01	TCGA.M7.A722.01	TCGA.EJ.5497.01	TCGA.G9.6379.01	TCGA.YL.A8SC.01	TCGA.V1.A9OQ.01	TCGA.EJ.7218.01	TCGA.2A.AAYO.01	TCGA.J4.A67O.01	TCGA.EJ.7318.01	TCGA.HC.7740.01	TCGA.J9.A52C.01	TCGA.EJ.7788.01	TCGA.2A.A8W3.01	TCGA.YL.A9WX.01	TCGA.SU.A7E7.01	TCGA.HC.7747.01	TCGA.HC.8264.01	TCGA.XK.AAK1.01	TCGA.XJ.A83F.01	TCGA.KC.A7F3.01	TCGA.EJ.5501.01	TCGA.EJ.8474.01	TCGA.V1.A9OF.01	TCGA.EJ.7317.01	TCGA.XK.AAJR.01	TCGA.ZG.A8QW.01	TCGA.HC.7075.01	TCGA.EJ.7115.01	TCGA.V1.A8WS.01	TCGA.TK.A8OK.01	TCGA.HC.7230.01	TCGA.HC.A8D0.01	TCGA.EJ.A7NF.01	TCGA.V1.A8MJ.01	TCGA.VN.A88N.01	TCGA.KC.A7F6.01	TCGA.EJ.7328.01	TCGA.HC.7738.01	TCGA.KK.A5A1.01	TCGA.KK.A8IC.01	TCGA.V1.A9ZR.01	TCGA.KC.A7FD.01	TCGA.2A.AAYF.01	TCGA.XQ.A8TB.01	TCGA.HC.A6AS.01	TCGA.VN.A88L.01	TCGA.KK.A8IJ.01
Epithelial cells	1047.72592859046	1070.43444663902	548.873934679423	1584.29766694975	1082.19830503521	753.737489493971	958.998838878816	934.30372454063	336.269466057356	732.452240656805	553.288954158726	382.544132221698	647.704928139273	973.950993055079	967.333783194301	1128.11765972442	1158.0858465785	1189.08711395002	1656.28197811639	1403.56563486477	740.769977312896	771.831074120908	521.029418824439	1488.88886503003	1394.80979474798	856.448899794544	1439.42337591838	1034.51575856546	828.672678631466	574.698535546755	645.931900837133	201.63178006173	1463.58625891559	878.965321651448	806.900311833118	908.931147259263	1822.60678314695	380.266077492023	639.317923847694	870.032073481712	389.475479182192	1425.97107858498	1278.13733574406	1454.39061469793	1309.59517844828	696.770081345479	640.514645282998	1363.28382882113	1079.44170791438	1483.31370840281	472.727826639256	894.7376253955	1053.33387678125	1517.91627642201	1397.04304145944	506.077474064337	773.731997862991	700.525841475972	690.048738694518	1098.70896293301	582.344768243076	1131.21191025792	788.305073206938	345.418666292378	801.196632546534	1217.03168459284	939.662250926618	1442.85259907259	893.645221257092	1571.88018615819	1126.38858781051	796.780357287332	94.2140898740778	1708.86797398696	644.601664115308	1094.62952615968	767.980026360356	672.153681867061	1374.48748547285	807.783003333803	876.824542357834
Erythrocytes	226.562970800133	351.873863635313	288.914509618926	433.599600722913	695.806974798255	393.959447109315	260.753389299858	337.443664390141	341.074635121132	496.272311248471	294.455347647856	327.431410496168	872.887267087295	510.409109836452	1275.35917592782	431.183523828852	612.790596383084	431.273549325748	452.205762795781	321.022265663523	522.410615215879	716.106361542171	505.468776810981	382.241142109198	641.011611863591	642.919966166634	294.779973263029	423.767527624389	385.607087080998	479.471889461244	564.43176475682	326.120455831882	582.118365740237	323.38999637726	1076.62216269932	263.825831022297	572.426327641529	481.668411318659	707.529046168842	570.282529799918	458.862981384609	684.599510360531	539.70994214691	229.298849535074	113.230272198524	502.235572275735	510.726477395241	141.324934435357	154.135309160491	333.596588648665	449.755871700775	715.630529865591	585.79378660619	474.240222596412	360.902748326563	455.875757000299	671.047528572572	534.590499513625	501.395964330848	609.145678208639	540.848750880942	331.089664279301	552.351488630491	104.256498111307	610.976285083908	425.712256549774	517.241896509694	287.199551085657	750.495541090654	292.220332337935	192.484128854897	529.580795768071	615.034918932834	291.957474080666	189.160735112248	308.351358623905	386.997452476511	331.014490859152	404.777488654649	398.41174992188	352.911890809408
Fibroblasts	483.774891366042	613.688421732053	806.836664545885	395.557055613527	423.376700997571	473.915471211855	607.563645150816	303.083551005699	724.44948056325	377.588126311642	604.172647992881	658.363062847155	412.801508747217	360.731744872234	238.109650698747	526.094148312169	562.572607376434	447.622839912624	441.277282340307	393.245149407801	608.546058790038	518.283414232656	351.995741399303	654.247110910804	640.316432773785	235.996646386971	475.45445133735	429.181386193919	203.312429107047	918.488522031932	519.612737720329	831.315361438923	361.193972672474	466.000119266597	424.067525700137	466.515281607511	612.63490954945	303.234269183266	570.101232098997	459.967735184104	755.415254975524	793.155016090173	508.046567586898	620.641412740382	809.424330369333	692.021784617791	405.714847152412	485.117609426252	410.938115706262	421.352425307133	882.765110508519	382.006917590732	554.746283202544	405.852111929418	430.201805065479	606.031765165912	278.280160460293	529.919084110632	360.212573914315	483.42006914312	367.081983278661	543.858747223736	334.617390941536	968.405640097397	133.448691472244	590.588162936063	252.028186572963	416.636149946705	276.675566639819	412.123673005485	577.103984749291	310.73667340131	521.63011087771	586.025955505592	784.740498178827	285.768558517042	418.555044712961	549.214164001967	722.424062038371	576.276435684989	410.022374916453
GMP	298.401404344183	436.312090581173	546.101446569826	287.605148188142	311.028937075106	342.94701077141	513.230364943773	334.366296326512	351.390813353049	691.449542604937	369.289155656177	338.69665830142	562.323955925255	358.889167041304	214.474500332581	358.145492061014	431.15232371826	330.455952973982	260.442524329134	445.454018155737	346.353353403553	176.556405352296	417.430916622904	286.727731771733	221.366965981034	374.188214715078	605.246701336624	322.180429584334	543.587932010395	474.327815320996	405.856083309481	613.93964752495	370.196785963272	347.902491704922	419.140522789778	540.979411889521	287.124431652148	498.91539813321	383.230412133251	298.370520973002	711.39257325029	303.651636294776	396.133667616905	198.940565307568	566.32064001473	534.816816062756	562.097669477992	402.308686900583	397.795639478055	341.515997585127	654.025833571588	538.607063209647	296.773415485066	267.419970790052	282.074728195131	411.9750338214	459.810998881544	311.009767394163	505.284660900705	348.348094579881	458.59060110039	390.516621162675	446.091020790064	460.72640762225	426.818455771438	524.222553345323	316.220677560083	332.81315867236	323.550534699793	352.830036880295	452.246270124282	287.207324809274	554.947870051461	361.077868671742	453.38024975491	453.118535529069	403.460253355762	335.82070151249	459.301994687827	305.557060771006	496.011592543383
HSC	1107.71089124362	1193.23819338295	1777.32885699079	744.393440500072	1194.32188273843	647.226650169643	1089.19314601341	925.825114304503	930.914615111546	517.167045902842	1121.84056307006	1099.56538323342	1138.08346797555	546.462262829444	317.769403004173	1284.79131831891	748.413428782987	1218.74809953429	704.959058068835	632.772707275299	895.784556841746	793.366341366098	1092.72099095579	1683.34594010364	668.417143300263	802.059845306484	1069.22045453263	965.135407528522	441.101176541801	1690.07548213412	1395.89816267794	1514.36214473753	673.382144769182	853.034293935773	545.024769562742	1042.1130183673	1299.77377683181	636.835584885621	1313.35963119567	680.63638813832	1175.65292502689	1593.26840477682	446.228862412851	1344.4772951079	1802.35198864352	1055.71293450611	989.21867597907	1187.69649334861	834.444322371898	1022.15365853274	1824.73124013152	863.793210200453	1020.08685141841	516.619257113117	677.052507834849	1209.12556269516	430.954955629005	991.698012475396	1272.21085421984	946.326153907166	382.833051378265	901.875615454717	959.866615852165	2189.55628872955	707.429270130234	1320.49399284937	515.161399164722	891.106079764995	625.218289170573	1047.63676051263	1369.16494566224	128.09050341471	1256.99662440091	1323.31757576241	1236.93311607391	180.629643421717	620.091684962213	1209.222745342	1339.37812421162	1504.62030664687	620.00756628858
Hepatocytes	621.727923392818	361.313923775905	532.698834330866	622.869721354356	634.390916191966	445.672847595342	387.752178627525	586.931851849061	437.425620235293	887.707460879614	392.417479658743	605.676043690022	273.215364381731	798.051006146004	170.639260959509	493.705357098804	626.381181733775	237.394091548468	455.574891355386	630.665714933791	528.70480312105	802.074444733146	360.48273689039	735.031377639876	760.814405628302	503.054251182443	346.651540693645	391.926402838846	414.116050285758	294.354327029083	384.198330481816	639.630404282423	327.577922947938	211.173644520053	557.061546030499	445.589264615174	809.463909258948	86.7244389752148	570.828675410532	551.679768348892	608.788923412016	942.406513105842	530.860019126044	552.411196995847	349.201065618624	196.852115528758	116.539817594872	440.890390549793	263.840778323662	461.018557420031	481.871055029114	355.32146145762	517.660294316194	712.74697966701	195.531489479466	304.987712403387	724.644837074152	417.293139468468	127.711964415841	944.048553652717	406.07460340001	415.516116514254	40.1989539860977	393.046861314226	205.48111469534	408.152923941574	478.785011811486	540.430954551732	63.1305887631891	423.897964140591	433.478646715952	555.870488956708	661.390444596019	290.315895553432	255.030508426838	99.5786787367427	516.655091377546	245.132814608968	869.660771896259	812.274586899997	334.915446895361
Keratinocytes	415.572331226236	1029.84714463244	654.820569875336	1396.5838248468	892.98217908297	983.84184816707	1151.70360081943	693.343135635154	285.846790963873	971.039246274523	654.480570318616	401.168915309454	708.083528525571	1147.9421467675	771.909161172445	979.664950975119	1263.68181191352	1262.94952268539	1742.22829808597	1824.80275920061	444.961045942683	390.465632205806	742.988380790719	1487.06381369811	1696.92187833473	650.273820846693	1522.23845049093	1169.30624414132	1157.17589509162	243.572831053848	246.9401051828	252.185541897845	1325.72012932325	421.549625247783	826.744189475278	996.456439591787	2173.79400732185	427.462428783083	337.241187651964	777.563360948319	236.447454993505	1353.12259348503	1160.94094291813	1895.65409908696	1337.44645357414	491.423952033966	624.067689535384	1369.06669002264	1254.58669663093	1657.08949656649	387.447493312983	797.972535826729	711.784116530033	1414.3825655326	1999.05649728022	516.860343960247	1051.24802443867	953.872407369544	884.162909557941	1096.42186653457	425.763398746962	1171.19891725893	680.118929265433	309.562556252649	802.118344882854	1078.30381881403	847.562563772569	1494.92331218119	1139.20869090123	1261.68029431405	1246.71549501698	684.131659505291	130.311764456882	1396.73752800668	709.104570263374	896.469380492464	555.020324923192	394.155026365418	1374.53261953476	465.739907793452	1008.03519098445
MEP	646.242523040994	667.653361791606	444.754440881954	1190.36654757833	1227.66137122971	466.336491357639	374.59115182773	718.660381338156	390.474566495344	526.280588875906	97.7898366612551	420.413317760477	1001.32196915035	525.867472648759	911.732933028419	271.814857253956	421.95982596065	286.549421600575	712.716540955155	421.84567431342	663.138736451982	848.977047300555	854.731698836071	1014.58122408928	740.062814149398	693.902372876184	624.611678819133	683.962661347551	185.668259377894	738.872648914618	481.074383429179	404.354162798504	1038.97226705416	673.989808633989	1361.17961489015	360.980640866478	1002.22669327379	445.633070582735	873.659044986559	726.251270980234	791.195628326844	1184.44442969352	835.676647013834	168.95809845923	612.371714452916	441.966924525777	629.491680203028	300.957315167248	243.87839834242	619.765100812702	476.360617304217	1131.25897906345	867.017825998342	598.684533243241	418.041416384448	507.039506401931	619.412593243738	639.060710055694	576.931568417018	648.014061348782	565.212668812065	396.427519330829	906.140350429579	263.635550426304	733.890755334334	852.808625346003	800.609840262181	374.732925088241	483.236780157757	850.717573142808	499.990725090932	413.330926604106	746.483735283719	459.172679529536	476.809490624828	586.69700131229	645.227997095097	516.434040795909	1011.63850184439	528.516283538079	498.460892130407
MPP	240.5400241157	475.444113765265	549.833129404025	475.643964148339	464.978578882287	413.838877215427	504.226083232424	417.834052011953	355.930474034132	390.287311222477	411.414937988493	281.169804479309	338.308515525812	258.15417016754	301.103959293488	507.588280208441	495.021557497897	335.471770671323	300.696957306738	434.553221158019	352.345372699116	370.17725644569	368.668107182111	366.776793723204	374.595775423468	322.15699893896	412.954920521529	430.485189070588	366.648531812368	761.927064375507	876.930010006334	599.710536528484	350.698503542151	267.482476497609	479.850522845663	463.912587633768	783.945299960841	431.620990855852	555.808933268887	401.726449481147	847.392853325501	584.655343437431	429.83627820367	382.072218377517	520.945930098281	423.132281540614	322.426589597632	447.048539797834	387.042028825569	494.03394244842	568.784239542784	512.314105553959	311.917167758976	206.98946386823	288.599468850518	405.674481418635	353.51517863358	359.68230798012	360.612569773081	379.736993492494	599.538844821326	352.174881913296	419.481555101321	428.778304374667	326.516015418023	585.01459028215	362.611986939826	550.460956287689	287.006653722751	353.788613685218	578.896162957513	256.903689403672	502.259088439068	422.055298179787	693.135718668075	268.281995356164	305.83213647162	326.93163503347	510.339071384799	311.581633597389	269.804227699624
MSC	500.725081047423	669.826381566487	457.254832624934	782.630927762238	975.929782229451	463.896059451771	399.379498472034	374.008140773527	438.66759274238	358.794627850539	502.563929999545	278.185507130492	792.383654199122	430.025739797524	681.031049034938	379.265412032769	466.391324100819	353.858595490643	630.917631863775	266.634565888094	588.134991830383	1010.50029516252	384.055930221779	884.612782880335	659.66924127655	499.385496792257	304.64062385316	591.683771294067	238.130697850685	631.013778670508	562.340118998138	263.192973344837	764.89986741543	495.634461869485	957.281422989102	111.056203406551	1003.93817233799	469.681905063636	672.217255810574	648.508626206406	688.473422036331	1052.24961288357	845.39854631328	313.855992420271	534.028135176441	398.696175814978	410.053840930274	201.99463181668	217.110537721373	427.124381867648	476.707229509635	663.967419360276	733.722754299968	605.888182234266	471.587161661469	504.674165459804	544.152038180128	685.490520738921	598.850477492987	530.132319517826	517.713906600456	449.353828095921	417.455389575227	266.127532895261	574.124291218687	510.257758552958	562.911952168106	339.837421803655	577.768250172151	504.626068720163	391.540724324436	499.642092529164	403.300471364669	463.654003686926	582.218856585764	427.321176289965	621.224500310516	512.400586036426	882.792233657485	615.655898314668	546.464373832991
Macrophages	388.219560123944	555.477928108241	281.922999665909	350.507035624061	674.946973623252	318.221151462829	492.699889828758	172.33512840204	262.265042428974	248.459235082108	285.818031009353	436.405726846427	582.84565754183	183.052668204354	236.154031116912	310.696025924681	430.379192135231	145.141109480427	246.201319165362	461.067020491039	337.563458592172	316.683880935925	177.796917409116	622.997032357654	245.519650990932	201.578179845727	141.916422970592	296.784167289146	225.292796880501	281.869434511632	463.79317077117	302.566949280224	276.612054991979	176.391775681329	518.571646928602	138.619798315227	486.695352413076	639.086101295434	394.946235620976	317.535132666281	487.991316550113	388.387590387892	521.585908423372	144.617038942658	471.102564323588	241.317811310041	139.465448308982	126.190461123461	138.150058832553	407.185373239154	383.078528091991	548.239386561606	496.78550322211	217.270027535534	169.490818762483	248.225912353207	398.066816999343	276.976362586671	241.791818087276	495.697214585189	266.918949909826	149.265506664345	87.6159615365621	226.97670961003	219.092526165452	265.113473093762	237.889990271414	617.920799389695	245.031710171208	207.774393807228	335.734943196586	451.717529637815	439.057036041113	306.857508976667	507.559497901881	296.784263911181	309.544365646093	208.712051660961	763.130943202017	277.906998792922	374.426208966564
Macrophages M1	356.150963462272	573.747695829422	477.110933930425	479.2281472488	730.790814901936	384.862398398892	383.407539206948	157.03671963407	373.087356733892	240.491416775961	519.579017587386	531.962446312817	809.979553849087	255.090339559735	177.735174730935	555.357747321189	595.967608183134	329.519823162689	260.289104482102	668.347426629759	354.649179921208	430.012861663499	221.735402843557	712.887459708	381.032428942953	86.4720877038762	249.678478484704	428.623790784329	256.616784486582	401.261100369055	543.872551688354	480.334493005679	258.953916367814	123.247467346851	716.45052912898	166.528441781094	831.114956443461	747.527461001481	390.208820719822	324.544076079438	694.86444838746	750.057270849041	689.811042314025	296.944359958922	634.678121587616	283.123270401648	217.538771502229	220.771244468609	220.581011942753	534.142957037422	565.432231987166	579.867483947853	342.535968427079	285.471785899101	241.820826696251	223.400621612601	488.71925264051	299.690368328	314.77436622483	532.240334078634	303.68760285001	363.856093687862	91.6643628299985	371.56625023487	98.8873363362635	334.212706729528	156.793166390647	692.04932668012	243.814906786536	231.189325061618	533.139734199556	394.840377720685	661.32407228021	480.450972428034	626.774194707214	182.22797500301	358.371688510235	196.148110997046	1042.20804331359	153.085879216663	394.570735519035
Macrophages M2	368.818519511314	591.541346507183	322.620811134497	484.437347217667	768.900879897163	333.509060949439	469.451312626033	298.641207209083	386.668303531547	347.816472592589	398.189969615964	520.211404799059	437.661342266892	251.030629522087	252.770530268768	324.847842004054	364.588401530164	162.749789700991	357.126353691392	566.227370953736	385.171075893082	366.869895127273	318.468621482745	602.744614046909	144.37769927934	431.235952214444	256.199660206576	359.273858174322	477.19096850763	358.319630318638	488.626052057118	383.416246466258	359.404848925698	369.821012336057	540.796445309045	306.730183384434	713.020652417828	609.193579553983	424.118227047332	399.442247454864	506.666755044652	792.418254456715	571.745430749444	263.589116808623	449.112030263561	432.327231554626	353.017461032746	295.883418050589	356.196353181928	507.215137164393	521.482269691701	646.919969180798	556.772216242466	262.434196864374	366.346988520067	328.010746117151	407.754415617844	393.863338368828	335.763513336579	450.218256966666	333.158469547511	251.149674920615	267.009491127567	345.587894404767	476.099219076753	253.084281608275	374.49677513136	556.631287064095	370.544648029824	234.500954328218	303.254502007427	486.111484426962	492.961462740152	432.945537544141	583.920252426551	633.938267481136	388.679094608443	351.0210692834	660.987107838414	404.963115787491	463.098904854354
Mast cells	276.689511206655	322.778379136896	381.339516743802	82.6840438747798	228.117373319034	243.153014700833	470.000067732319	369.576889085402	250.920011315801	549.242986728681	363.056964203902	248.475118614875	310.928142373032	315.556988981559	184.396053530588	304.42483427498	417.12778487125	394.023048033047	211.694212938376	280.622593973534	263.31513241562	245.696823179374	399.479673313707	98.3484817444247	177.124286593947	406.787561598454	431.524888856854	228.360418508333	485.846654516285	278.626560568368	417.983795999455	424.673056179631	230.699024164749	301.722886949517	251.423767268492	432.300183814905	15.5356689066739	387.948566595962	209.579278930382	310.131022194966	460.70282053377	67.4441705548167	89.9966891720135	272.780583705216	366.551957973684	437.026750169978	463.667878878	387.455555699203	381.964770731603	326.587428409063	530.035738487359	366.782754583946	235.7891733614	261.894543993403	330.717893874222	320.093843200187	416.493057778346	385.133481310161	407.678519864961	224.230056576417	447.078177463923	363.786470987152	458.074057460258	390.590655403395	460.303228367388	351.255064843999	290.563162738849	290.042117785892	314.892228417996	342.303810570638	345.884932871516	427.995916754316	411.182373483426	337.655180716555	434.429811040595	332.065398069425	342.569632251659	375.629980883705	135.260713902494	265.622474558087	381.6428601391
Megakaryocytes	1079.93711743191	1094.01012404733	1282.51227180367	500.686990442677	673.096639858687	591.544018792419	696.759451341736	433.21541392135	494.811626061385	599.634237617936	1138.41469803464	1075.73773489553	802.596306640897	446.391545000308	501.941128007063	1059.79809844647	773.843170526692	660.36836545712	236.117428729004	762.546089874044	1019.08910783604	754.157473373787	929.937067404024	857.524079958001	336.543083432161	892.779686709848	659.764376971124	823.514177299414	833.555851472683	1275.62967703353	655.424692895063	1194.14540816787	806.448432038297	652.600346567989	551.739554925134	834.659144910499	589.932041297989	693.408688594298	832.386566157119	694.172201353022	1151.66290434408	838.529400740934	626.937736729409	880.987633567052	1071.8689279056	950.688766947183	738.920211611346	820.694714103339	879.001754804036	563.26266189607	1329.47349627371	942.56149187777	844.641211197173	680.581505912085	592.143131930017	960.67433238193	956.50620630485	1021.66501660952	1023.1255352348	596.835252919038	1083.1031735308	913.133183279535	441.844042862806	1176.63073467351	889.548625930552	670.019465384737	571.886137564262	503.58874106633	887.161638105082	934.950831544546	1056.51918708126	572.884555154367	372.458412180254	1010.3259062275	988.960581666818	804.741596630166	911.251183775197	938.302948389242	668.39502664331	1051.10848277949	1002.31706371472
Melanocytes	1203.89069845736	998.975969270276	685.237850466931	744.015815298227	1007.06196136428	610.890980932158	623.660137633373	883.80560573448	859.719635761818	565.071391463719	841.610160899549	545.975626332555	743.781508345885	477.411680525788	931.703492377001	782.645451184302	570.147527437671	731.711480052491	786.424132254661	591.44264409047	626.480374765851	982.84018424014	661.133913675198	766.465837394721	631.956015397748	1119.33158449255	870.032922806995	650.659682851663	678.81185672324	609.186956262525	776.691877953699	601.565763336748	717.689777125326	707.536892034307	352.312212339879	795.800945269409	784.921155379049	1314.78468721682	532.674437082376	920.650021389288	594.836985406799	1036.70214167068	1221.64531604306	748.704795556349	576.548790272355	592.033966573158	851.869187689705	720.858247921908	757.847609766535	670.349357184027	894.716974230231	561.536967022938	735.552478205813	556.434432457235	883.675011590906	672.960321840177	522.094436999263	564.620474047854	605.638067918293	685.429560804676	722.796173120353	620.550903142584	506.388083932091	713.931496329696	603.757331571714	604.492865308984	745.50410235501	1088.47624454028	595.726196323069	592.558783286141	683.644558472689	1187.44317492784	196.009708863222	936.858831694847	657.502365251743	675.899164491359	498.704253977951	1040.59039097055	937.706266072523	861.222312178695	609.85730456184
Memory B-cells	150.830378919608	386.58273436369	358.164691109759	478.138811300179	382.078120808812	387.506066510343	389.937227120853	331.073284211739	270.623697862693	247.173290733982	491.366618880567	343.55026907566	321.510698534771	230.745082734795	298.624568775316	572.031167525943	419.119246686887	263.779433748059	264.776156488796	352.409000784222	312.190354002382	287.998213477459	256.668868317509	262.537583509025	398.003391693718	181.778127425013	313.354704888546	470.771349482008	311.172052401366	1031.05785639082	1245.63615470272	531.868420312706	261.521160723144	245.895038429752	388.692753369438	273.574631808704	822.018777452187	318.061680401785	566.231509719688	494.859746678882	1179.08824813335	454.473464995875	272.965247059576	261.317365734834	257.611681384398	328.902246372217	223.719963765213	591.152194345476	398.793700945055	506.733363270804	241.977828284302	440.981642952047	139.83512779758	169.084872929077	149.408738983076	287.134818286181	261.646361983478	262.051704598415	210.881295830713	212.042277421144	819.382411864959	219.942689784447	374.56586077703	143.127316148035	259.12719725926	485.165736065589	200.985069694732	579.210651211851	281.178563656608	280.983195031671	490.474245497331	352.780809982042	432.186082814336	299.730207708783	444.30742508623	328.187327552874	301.365853163004	100.729793978204	310.634149628259	62.5760341740646	288.879067163053
Mesangial cells	735.171453260151	919.816676662971	921.338743262167	664.057278219401	699.64418942523	359.514426575099	726.929416369764	445.250111505935	517.362983087751	268.542843826197	764.830155115246	393.321503662043	665.469942878531	291.951092700699	344.013076336157	671.489884253338	691.722962809592	752.917097086449	654.358423055417	516.562930347949	319.657862773134	513.093265175658	397.903600537484	858.976518395979	713.66076882357	595.034502558239	743.067715547624	546.99045010791	353.559933036789	1103.19986197978	863.86421622609	812.865469688482	653.774048020937	634.66004454237	368.438191936824	641.342764752517	996.901439075523	452.72665224332	507.611529668683	425.899603050539	559.243270856941	912.801503609418	730.242449968082	970.76657619152	914.776119171052	638.776682096735	537.763217490396	751.04611365124	579.959895191444	726.43534152733	779.19226496189	310.31859307571	663.920205927219	542.576763278561	716.043971715151	579.199853099388	159.122708947165	457.250573092982	906.204506061985	684.218300311441	124.193055647635	687.547223399237	522.110377196461	1210.79514774106	415.058207903847	758.425092212634	483.255510375141	593.701878673636	378.936659641702	609.56349418337	816.504184435384	422.984219861924	400.264422919606	938.412926249251	834.071000050946	259.091741078686	403.892819292662	744.773796147854	931.469521005212	772.06446893722	436.26220456977
Monocytes	285.269955387111	751.543857340531	588.404183346874	425.599169030199	541.161618254566	427.659739275757	421.47617700575	347.946861055564	444.23903832006	248.267833021744	879.515957798457	406.377197287177	590.621986507083	348.229137167655	243.88353847737	752.858830340279	838.449535186292	620.953650321263	293.101542574468	709.550149285766	496.069930951537	277.87816196645	392.368622406592	543.6017422837	478.093936353453	174.92135135208	378.468320886724	448.89430649475	795.91602507634	585.587298675727	584.34333355933	616.944619805426	208.942701555196	250.740980988725	496.00822937404	357.578078928819	777.387225528362	626.304840993489	539.647679696403	437.432895190565	828.619262543992	656.221560974632	533.547257261756	523.940068522272	805.30612097619	497.919594961219	271.673715900917	560.382163428175	459.255288409169	604.365234242223	765.791448112782	448.854749534938	237.913285321545	384.157261521036	265.778848393011	450.454405437661	401.353696819674	308.747489522089	463.76647334661	530.441756511915	426.772216269756	434.740197226791	148.092588307387	644.700220354832	308.078870963903	428.009098808108	178.304599861151	505.873934253761	389.63342897768	324.254881103359	793.145478295663	263.172608854891	683.690954814006	529.680656313794	916.407972681535	491.740855785019	524.653342648652	445.835163318116	941.656511640207	206.094940320972	548.009464117784
Myocytes	643.275134517262	465.381612111289	2345.72442568629	333.611874427133	607.359673444541	1663.86835071475	561.656431745266	476.596945539309	559.016014670997	577.915063979424	519.996928129287	2460.30218942933	497.813213669235	498.203143964742	527.911114060639	450.218914637107	490.787675049955	452.020819881218	508.710780356843	275.076396807516	1893.55899467418	508.470988512133	466.827101338395	388.608674517338	534.56213867806	576.393914147131	465.27583829866	452.866864306089	508.388313772133	1334.85393749268	537.682540379499	2187.57475316485	411.348857665996	965.358777174436	424.648327646541	582.602529617085	394.261593096623	375.205869441794	2069.27901079888	465.74621567016	792.027631621165	814.427455214508	469.822289965373	521.347877142124	504.919713108129	1867.87675830807	529.793191456364	497.739033807001	490.765894582014	280.077975909791	818.832870578246	311.179019568305	507.521000954107	424.338856668816	628.256991601535	508.958965521408	555.86244608382	527.59664954233	524.750480186909	411.394384228238	822.908251367935	551.667218061355	584.4411809242	468.309296550718	536.25598903269	412.700301812839	532.024326929761	369.049418779555	582.000761732393	405.879698342412	471.385681613045	530.78362171322	485.131141078728	475.933107879084	635.935531646358	499.759280075585	465.51047448698	697.101503778163	457.296599783927	549.90235129821	559.588142767169
NK cells	377.574287313966	483.212514866649	430.311428701635	351.026604035999	359.434648329783	476.14419073237	562.610120515395	526.908039362177	456.53122876846	585.546563135446	577.701169015873	410.121747511876	445.408912500997	529.064888496498	340.066909293358	503.759085460801	569.168897897187	525.737293174387	555.175283638867	597.812978553048	353.535913213699	343.043131289563	538.347055817992	179.010541346437	454.840498407548	516.548878410803	484.660715923464	456.024295151367	612.880545756188	501.602575346922	680.237568290778	496.308099423607	458.091306608379	414.995101378895	299.18332899255	594.03745422858	313.317266951696	693.725688749132	469.860702507153	362.544304197444	556.815153403391	284.832470474706	354.606796109302	419.131420979882	427.244631356669	552.587177499572	633.866852363216	466.82444537608	591.691262557393	476.571902732528	688.768129618505	475.87831312608	300.139045706137	371.367214311374	480.270027399788	521.701533417465	545.944724903168	409.599177911397	424.796858723546	444.359121688282	554.269275464337	382.844479844982	565.890951513299	311.593812398194	476.718417906311	440.023110954261	471.406810798897	600.00432803798	564.647215682523	429.274287538258	565.227436572852	427.942175464727	653.930910101996	368.325073548135	481.457954803755	461.491733523063	439.86364225394	486.357368808393	301.664128039723	299.467872541079	452.118371451308
NKT	919.914644156636	738.581751801357	495.439040557657	710.856974233988	834.837300823457	393.562425595317	496.8167129837	126.686154625208	379.69208476748	133.87131328056	578.024136932173	398.402536678196	617.383959425914	178.314722287785	498.419533799301	640.719958230219	460.191823172348	527.601471686269	697.95907822732	635.583654374057	516.076285046084	694.826384443645	267.174137675564	822.675283154352	659.81440055142	489.475721975697	381.06024332898	479.839535130426	314.837639250961	750.182003188058	858.546081421666	593.728294892975	453.57029262727	405.574172296969	684.068370254606	135.046157576964	1024.40464165393	493.439700816816	533.602188425116	465.809853460649	523.167478089125	1183.99253024733	1011.79578118466	566.3838337284	780.077912346051	331.056228243601	472.4104907606	609.819080755641	439.435256156185	459.090944350317	421.42700116149	448.100531312359	559.939340360114	669.277464555089	672.318602328307	332.246169509901	49.7773998449076	433.341273191516	386.255606192225	622.010018075434	368.389975068617	558.1614754105	527.89029518622	673.41929560252	335.666650907136	458.710170771323	423.066814574786	686.21386969919	316.839463526335	640.535390771216	588.704849878031	343.299055351544	334.411004965888	648.296430910826	728.300565740726	446.757718401573	359.821680591415	705.338271679214	892.627001705134	567.283112167826	602.259549815256
