	TCGA.KK.A7B0.01	TCGA.EJ.7314.01	TCGA.G9.6377.01	TCGA.EJ.7330.01	TCGA.HC.7752.01	TCGA.KK.A8IG.01	TCGA.HC.A631.01	TCGA.V1.A8WW.01	TCGA.ZG.A8QX.01	TCGA.KK.A6E1.01	TCGA.G9.6371.01	TCGA.EJ.AB20.01	TCGA.J4.8198.01	TCGA.KK.A7AY.01	TCGA.EJ.A8FN.01	TCGA.YL.A8SB.01	TCGA.CH.5788.01	TCGA.ZG.A9MC.01	TCGA.EJ.7782.01	TCGA.VP.A872.01	TCGA.G9.7523.01	TCGA.HC.8260.01	TCGA.EJ.5495.01	TCGA.HC.A6AP.01	TCGA.YL.A8SH.01	TCGA.EJ.5494.01	TCGA.G9.6498.01	TCGA.G9.6496.01	TCGA.TP.A8TV.01	TCGA.HC.A76W.01	TCGA.EJ.5542.01	TCGA.VP.A87B.01	TCGA.CH.5791.01	TCGA.XK.AAJ3.01	TCGA.HC.A9TE.01	TCGA.EJ.5509.01	TCGA.EJ.A65M.01	TCGA.CH.5768.01	TCGA.ZG.A9M4.01	TCGA.V1.A9OX.01	TCGA.J9.A8CN.01	TCGA.XK.AAJA.01	TCGA.4L.AA1F.01	TCGA.EJ.A7NH.01	TCGA.YL.A8SF.01	TCGA.QU.A6IM.01	TCGA.HC.8261.01	TCGA.V1.A8WL.01	TCGA.G9.6338.01	TCGA.VN.A88P.01	TCGA.M7.A721.01	TCGA.EJ.A7NM.01	TCGA.H9.7775.01	TCGA.CH.5771.01	TCGA.CH.5772.01
Macrophages M1	1015.95622464331	64.7985901955796	408.978385812167	199.840168024901	480.499213756823	378.649753601406	309.944084869318	389.692827537879	369.149580766829	471.622754761475	306.929494332164	328.057035450208	47.8408177675475	478.814517811459	555.948552156807	380.864349382485	315.850915520023	778.677653544165	229.106311678822	500.565237026101	856.89071822954	156.955227311558	358.210330503891	877.334351070251	334.315967563715	415.766946795376	558.795594135749	509.106900413702	328.24286721188	371.979442812261	150.718923628537	433.941454188485	234.294257436893	576.302099490012	499.801108255366	762.06580532933	675.98127528075	297.918645357789	304.851385942304	516.188654478276	349.526733738156	217.244592938218	1026.79569669691	276.890891909156	286.126289469219	618.543601547929	691.674759962173	397.519047759478	518.689307455678	586.392125784088	409.53269267022	390.424614617233	282.764750502977	644.037057787006	268.236936325646
Macrophages M2	583.823674244176	327.652720307058	502.942096544406	137.915846778681	443.157487372163	398.372910139732	390.209667030316	519.779630052965	488.728807423708	538.476876248937	483.430485400011	317.737379671299	277.444432671493	574.116053766999	610.712693632675	338.935321564636	417.49288472251	501.847601735275	225.727819853444	415.077074309782	561.923603066596	301.306041407928	326.182240995259	617.091312613178	193.034840465392	273.364849270878	425.927689210929	457.650638280746	321.772247232603	501.137204966663	376.01000036186	349.889350024194	356.255923369367	374.499060423569	408.493111517183	496.87559288029	460.880868146341	395.414071439979	200.907798447088	434.303424730809	484.805368809279	390.019968031259	1034.28027892487	300.315239569742	248.421877333666	448.282602886875	441.2376045383	309.378996786081	590.179868093438	546.079464034562	425.949881303407	384.301173047649	500.982032821045	506.375894175689	371.22428415855
Mast cells	207.406042759172	424.68936169067	404.640865871087	502.388688760271	360.869491367235	399.329700408984	578.516902212416	384.761817953882	311.825355622797	448.363888500922	416.189848573591	388.507256797005	530.115169563825	295.060859671486	449.489661639935	536.373146999244	482.351666542765	446.631059117271	588.775787853171	466.587892427984	448.98745734111	497.448171989173	469.772716329122	241.434598490381	346.589830857272	587.50537233173	375.776607215807	249.425732856648	477.808509339977	487.854949649637	527.970692542231	356.492407921732	527.0001814794	429.883275777044	528.873574831043	464.56737250879	387.352279845281	521.427325996598	493.712476483913	340.850553131349	389.180158464558	501.828441520321	543.335926168125	483.078584026239	435.674639349142	0	470.130268080809	428.457628080239	256.133345107154	467.271322573034	422.012715240601	472.112071325581	528.090180971036	415.464305972992	593.21977341505
Megakaryocytes	558.072444329512	808.254177807081	684.069381032861	902.514487511643	711.636156061986	1214.44825888247	471.477179497321	549.477457388389	609.839555538828	521.221780947141	824.550845921401	565.514438106603	931.341041840034	430.426546566863	1141.80344239806	826.555214026031	561.568053136761	964.526498685701	464.57235067937	503.762865314865	1262.45814974339	836.648419553027	1004.15674476171	632.23739006412	1108.74018415247	927.130696466325	892.805053921039	804.748900051062	935.831653492407	1032.28336148158	956.957386620832	815.092774703961	887.331726297883	681.616397784542	963.11963995014	962.896455315797	608.352142795143	578.942161572675	877.700682719646	845.595550303755	1235.84935644314	1282.45904730351	736.811943888658	903.977843605693	824.718260543284	405.499356617606	939.580918027598	949.228215278687	1215.35751785247	860.419482540932	878.907813998118	519.455018840873	918.848145344278	1040.62427254904	1479.69472217733
Melanocytes	523.056626590861	437.890990413693	588.111950558497	779.088598478613	461.69430872591	329.034629642646	365.107942864793	1258.7858307165	329.22693561569	679.405960214452	557.929559034154	290.528812227983	518.922757499976	763.751856715356	338.373734741235	331.835661202541	904.631846113497	773.877642158145	521.520422483007	612.544542491229	427.536223897634	492.972324808801	554.275585333843	741.382660787154	355.045979858809	402.708759194654	304.096781444925	391.613973933701	468.430613423032	248.396782437269	713.013407967219	481.726978280003	825.653600165742	541.914147036219	671.583543431374	654.497418019718	410.233971894664	455.119712162279	827.789667827613	468.611519994709	330.395118050355	627.22582260347	959.672797402587	492.613584652807	382.363818759303	680.267850048116	407.380651039396	563.717884575602	372.40370918012	216.471352230528	596.903484330824	465.692546212946	865.403099716269	521.821929009303	213.410646161056
Memory B-cells	902.621760539609	135.606726536003	426.478517795138	197.72934303526	292.321827216453	269.327959471567	231.023783311062	351.951839823757	768.667261700194	332.485042231089	359.906696409176	302.831252839758	232.246175618426	190.308094474205	619.881846581915	346.90644638484	311.687262724486	1483.53494584044	387.710529717141	782.411217265192	455.019305906051	239.072892962737	311.58929018241	376.695467388254	194.256629473156	210.400288989554	965.641067439154	274.73212741374	246.047481077308	225.414222369778	328.265802784799	282.905976468855	357.953530388338	211.721209902712	710.400993791667	452.323143397783	339.098038519605	289.145548405418	708.372348499238	382.919694948688	239.305273432207	456.484175475726	786.495296021494	245.982896791435	166.874566168518	351.787056194233	417.274688680658	765.439647498515	295.132089866252	493.092658070917	315.460141987218	975.866320923473	253.328179808167	401.758637775112	236.737330659238
Mesangial cells	776.318481052366	527.21402805595	443.872924827574	583.118225634581	393.042671922055	614.306796651154	204.818829546627	468.102087036532	356.238121462053	306.344619329299	313.467601124192	945.741170764902	480.486817946559	646.991719058927	413.626194554236	466.366669343506	327.460862571476	1056.07305381633	539.632949517321	759.451211538072	905.066174812377	474.316894453763	747.435876368905	620.527942610559	475.6792529539	341.657812516913	631.199859022146	612.326305315716	146.826198058509	809.227493001717	502.361804079448	528.34158040059	482.870673023457	458.559653530679	977.580801850778	565.380607592057	413.196111591046	214.982650113904	770.431078451872	578.030565906767	193.512902197619	544.785584494185	1094.64945256531	556.284302325139	634.52556439035	708.366623126259	338.028534578127	314.246853472265	700.477033958711	378.478066552444	531.455634273638	567.201992347263	540.254677606525	865.509882620724	215.939624036416
Monocytes	710.732958907629	174.940214533705	284.208952595156	394.977095891295	519.028472891346	586.042709892996	199.029607313057	324.120443442771	154.658799084761	214.147850314389	247.155042780759	543.414924208421	348.698468752107	150.223255679217	485.728572038361	509.686353006845	271.105383821996	728.252346193488	403.517736281384	456.127660874784	672.753773477957	244.934383310869	473.576839504222	639.202193940428	312.462223148998	376.149812125759	537.32073838106	373.066213475734	240.459079989216	398.53425447077	349.935927973376	327.178863654965	461.863573011458	421.221061407715	725.144265331172	613.257419350591	536.888855957601	208.126829013993	395.406354514958	496.236230153288	547.968228717831	282.056115894348	999.376243357833	256.561688901552	369.466991499723	571.386012161625	464.836828574816	394.895716216589	323.851810707344	469.754884955993	394.605606589785	545.564954161729	310.056781616966	815.298131086746	381.322247412724
Myocytes	259.938544913725	436.26328691777	454.353369425864	534.789204257177	530.062567684915	2368.81450991129	648.707247084636	367.985968967675	2938.40614629741	492.353769331387	627.956630245943	746.03494480493	699.952093701514	533.001776665483	2652.34292807037	657.445161162057	493.737022518962	1427.28584460502	547.036229203116	478.932118829205	2661.03641349518	486.30919386065	567.735460901339	523.063862459183	2084.29871354398	492.836508406257	581.332251650906	571.303232534958	470.091363847081	409.597658871307	616.756662463668	401.559954210551	627.69973936454	470.492865316635	401.969426290729	535.905388710951	494.013130989792	563.336222654366	621.240280758812	383.105553930756	1417.51704433219	324.163936709132	549.330606200775	475.23765114468	544.430574392598	365.486116215903	479.790182869368	561.278038032251	3371.13132497118	2300.94110957597	474.603894507512	507.338010047521	566.583876317891	604.078380283184	619.409353857748
NK cells	300.500380090677	400.229217166677	418.77209704159	487.911258309226	240.858317887442	323.074878954031	530.093927805907	461.137622316851	357.123697182379	451.928183306806	451.646975896658	469.875501135095	487.986995443975	424.904404379513	446.165202221146	458.826000339823	526.610513620372	587.319943814735	467.377418135606	297.710028754093	289.648439698819	410.218394115683	650.202439923712	230.259493088618	321.179925514008	430.194480423721	541.700413152988	418.330505114211	351.228176902643	213.927265279735	541.029376970406	254.886746339744	490.766620188141	383.085876060971	547.03567578698	386.844735035608	420.527363075163	558.048825967578	761.531463341736	389.63410154285	498.17470067157	334.450579950112	497.90758779801	394.112442265738	375.749503535627	596.550096875906	450.493838250155	451.835575971857	153.399314219356	369.814197081543	343.604098963477	530.123193535801	405.123801495016	441.412932525923	701.917096172707
NKT	924.833779110779	314.309767820067	621.445107008153	340.28944766553	688.190809879828	636.897941354242	395.973353232747	486.109265386434	567.185056500988	476.560684442459	284.623853221002	815.489212067133	145.518366366125	566.194270395828	503.684681578683	316.726382490825	438.681646424196	897.062701232096	407.410447771499	961.796018785746	836.23987205188	149.325683568117	410.733207639124	887.307219624056	461.967564055624	291.992700681197	946.796658295964	659.144011744165	313.09772885099	562.449406094516	29.1922055723799	448.449683341345	370.306966744321	324.265634931928	513.564661612507	575.62505133544	311.998366075641	265.793001967173	277.859798170016	578.560239801222	246.284672653469	156.569905278807	495.304739627359	214.752561588767	280.824925307315	719.275060336312	300.470869257549	339.351470893251	1330.763749761	527.769719093313	459.970453900313	636.061584459562	255.680618903643	789.672617620336	11.3559740207267
Neurons	236.834047885412	394.456830252072	345.116388852826	528.681642979045	339.196401997622	487.7873822919	360.807630695455	494.181701522066	407.061551101579	260.65399058107	468.917518955212	898.933969856541	641.252866254325	559.062369996568	262.866954906	431.556708610928	185.82265306507	167.288818836957	414.634779537346	333.422941905866	654.592593437809	458.169703612602	614.828617085037	405.271009298941	339.934990870188	612.87989799457	494.681195246342	219.512289585222	222.208118640879	454.01511320763	667.450575547134	244.151765295895	412.603813345603	270.554247896807	596.275327809661	428.735048137333	300.705549724442	329.975016774343	713.110896827624	372.349913347497	150.069922113838	271.65675276749	502.441995541242	460.297346781154	707.554004324657	295.03870459162	222.236993019214	381.03921510418	562.961289189715	321.962366701849	359.591088722609	287.682002215791	638.686910344405	466.926589625589	570.595928929122
Neutrophils	518.893129309333	519.056255727177	467.906275063999	691.167164889381	661.085362336301	530.244300522326	440.133435486736	524.13185225231	223.111400570498	523.608674173801	478.987362489003	401.123205307365	520.447621066707	409.208396159092	558.23586361897	501.710845323974	584.268573036646	639.207730251149	660.646793397755	397.984076717205	266.824402885755	556.308001474405	524.028752617487	501.668520898433	346.401986553944	488.944890389918	444.619247875294	447.64734569451	519.40211358597	609.059733302545	575.641013288674	632.108497365855	696.026046919792	469.418050711901	471.475965107145	446.630067942455	527.164653282917	542.063960671231	599.273361091106	516.014385027237	981.409600273882	719.894511625594	809.47889071476	442.14535695756	511.94642387736	690.837252085613	452.688493817929	481.246950299909	357.505383742148	479.858342426725	360.624180823167	407.869325151906	546.185358583322	715.473826014299	796.847535931636
Osteoblast	765.156103833	545.922290127422	597.628635586222	447.573066066219	658.583200636672	610.748988502226	676.584201763893	478.113439877901	699.190572911365	573.655956546912	686.172358912409	672.399218347122	506.107865728048	742.73008028972	591.307946276766	606.802635568583	484.3675102496	308.433128595956	501.634359030156	503.947677058123	680.71213007788	502.353362906724	314.331407896807	719.127311764213	528.122519853625	532.434050021389	547.90826506329	603.851174428648	622.333446674255	620.310830088129	420.000381277878	606.583075112023	497.956928814988	583.221260912981	269.057644373799	654.009878173194	772.408676434583	427.759681296806	370.388633464632	590.046482897287	483.428189001741	434.840494980699	542.22295289291	498.410729765048	551.957686841751	663.831193600186	596.718635013445	547.140239333646	742.511724644471	686.376364554892	537.320774900184	489.13444435985	604.749489649358	555.860505998998	510.75180797025
Pericytes	845.146443749889	341.28157004143	557.758275667474	864.599234246013	706.694722433103	849.753379228718	533.393735162567	647.858096988362	596.701251483207	533.750849278167	719.452101367202	1554.03039640444	888.72709096084	500.208498648757	588.845480041007	1021.27687348028	370.258892187366	698.29993533732	919.923885464007	986.485843192278	1381.16046467723	706.651062080606	842.721973783482	666.071165199247	737.268618244584	774.551587840104	1114.94523452433	930.023101965784	564.503018694392	1076.55062551119	432.424950815776	648.748890868502	441.101291420134	683.587644642355	838.17443584679	649.370376795118	483.448335502779	237.376609706126	384.539682459319	577.600372747335	669.142232499392	502.81887027489	1413.62711125294	754.46125483369	836.165622843715	767.208511455418	518.779473420551	797.598831234212	821.465845776665	933.645625319755	672.200253479945	644.483669870526	1001.4504621181	821.37548376235	772.942846459636
Plasma cells	720.544993252688	417.533914149177	600.652641742991	427.434865535814	759.017868810058	449.647900399805	611.478114725816	552.042643376965	774.220482847101	594.250099114268	676.792837208548	191.32062581639	298.573315783475	631.179153013775	633.596963060479	523.674799377453	491.85106318734	205.395432335496	773.011171187324	571.288320283306	239.160946616863	553.831748457271	233.360871345831	631.784509209507	619.995862903389	455.441935416853	759.879780456674	544.366985399363	808.007283805861	336.257957963419	425.438660352937	653.945700470113	461.837227591365	474.090221921931	514.363026476534	485.079344087522	666.971572752708	486.082085170667	362.610069041338	557.759097458211	798.093402606818	565.316416516251	356.685896764414	578.69835099548	266.391018878958	671.766628975865	552.099397805747	717.420193910335	812.783512310498	643.459727450904	664.941884380588	419.049198690182	557.653986650125	265.854456975353	518.883979151768
Platelets	118.955713679775	388.818580339568	353.71341433445	397.962417457881	460.755930373307	618.670438148635	339.216616895667	246.704665708024	594.551426701595	238.727918225462	473.076890716013	292.282590004125	565.630889676229	295.3033184478	653.700777660495	354.95312623559	378.401904789865	321.885592034933	200.341811055476	130.180964901396	620.901876827627	516.958657479561	511.091650508887	222.46004394199	661.051008368102	477.429278820417	337.580968455894	399.089016599517	489.023002853097	420.143458414055	570.707462745129	401.501391455753	491.055710585695	440.609857368732	419.725308732389	362.536398622693	322.215511699918	420.07276823936	431.460467123907	385.247683327569	581.17686535895	521.228800016847	121.847974364032	428.831659896775	376.476386830933	202.466216236329	476.261854963127	508.749424948154	610.678437906863	479.325010415773	411.692762473581	297.970805932214	482.748251421779	409.93297685685	683.180957987113
Preadipocytes	156.475523603311	460.144776802399	504.640159139732	553.207110678497	452.946372686635	528.180892192176	379.790215888365	117.875864410786	400.181262570595	277.549447290998	558.607130965316	317.50046874016	616.29490924496	346.814815989837	541.446774843551	637.523113012184	633.541350075879	257.72101716633	250.687028343905	349.31732536082	695.314443708953	501.895200075553	543.732940119406	213.643577063934	358.654949583488	615.79751158156	603.353355624304	505.554822571443	376.811836174776	480.110752460225	601.384301429191	492.933937262067	537.269917751463	491.497595320656	521.819926496952	569.387338127092	288.569014559838	499.560547614302	264.719735506839	359.671938153	572.768426781123	428.590897411931	351.560797653568	537.968124916489	518.903863448073	205.719359689982	367.766297960731	446.665608475936	465.754159198437	577.644248818801	526.902670614779	295.734139717683	760.094237532268	493.020441339006	597.890603895254
Sebocytes	1533.84155578225	902.051506015411	1092.45025233701	976.814144632729	660.493571489175	419.722094100742	310.010992652605	1010.12380786833	337.223660173374	866.188987930647	541.175775633365	745.311312012357	434.544724308207	998.158291046521	399.010403125872	616.542916013641	274.809221875595	1305.13012628992	235.326375435061	1169.43699816663	62.6041883970737	1240.41639526296	143.04733611388	1140.54444677957	477.197042344024	678.032215801223	743.037164206951	962.795014318934	190.127977939661	732.06041046069	690.316425610966	322.403866890059	831.556734667594	298.844430830003	967.680282139561	838.829580288553	1039.25336769756	697.827516824623	501.379096674553	1281.28705891122	529.800346772962	732.307017046285	437.160377178944	995.931476107541	43.7958917356107	1498.16445905023	666.336791463822	750.804250180283	730.848691146919	283.998510961175	954.428374468139	710.375611717362	392.062899693417	1077.6365601447	128.405905742894
Skeletal muscle	507.768825598993	287.773026731509	325.64144847722	374.265276001059	573.389586038125	2824.02283920899	355.566615889998	286.13923817509	4491.00829825645	430.379838231716	444.606449247987	700.76006672161	498.17751896585	281.823303265587	3745.51880324319	416.825353832861	548.334430907979	1330.36813810515	312.387618390354	324.054749938823	3432.77442899827	354.953092549001	341.048385647268	607.715404740916	2336.44568203329	151.271782493992	239.854808660023	454.752461381414	423.211112237634	254.940743188653	281.58866592672	614.094888747015	190.912826180213	496.971157920313	203.125382803972	451.222371754205	431.570554772747	385.393233902205	583.735688501314	455.765771426772	1329.46903457158	451.845078951117	300.692595982501	466.041228715245	310.20483561494	687.724778247757	427.719424844136	263.209943906168	5842.40258311406	2640.84424825554	347.664822941407	381.257913138316	374.816102637678	467.805319743034	432.756198284804
Smooth muscle	309.237659193961	400.146657660278	492.394730953323	459.948719514774	224.925047556614	693.277008972064	531.296414352594	368.631374232238	651.312135167904	393.807854566741	589.739017035498	760.064709560341	564.265159170036	516.934403987869	650.580021702175	719.796671610166	218.295203643768	400.100475498506	395.468437157428	526.081606053859	854.045868840552	493.861039701689	607.390583584356	591.533397683905	455.069302749437	541.337902341802	620.444127711734	451.090742303272	254.927699025376	668.79077106864	614.847977564007	122.665635524243	500.793791489696	470.414369930414	516.335414737861	506.914140724155	619.325990087087	447.552953789105	324.540042534737	435.315532896367	325.100298621448	159.763444767342	614.014588973018	492.685208157366	680.144132751093	200.877499756292	475.887670807864	573.279017055295	539.620107529318	656.216235016394	470.430336742276	408.845493496107	640.218350750894	520.699485788674	707.148206610452
Tgd cells	281.873107508438	204.462333658384	226.353431317522	41.528592597035	127.293553633249	50.5628676262847	406.27890751152	213.400141582052	53.2897798287753	503.809959831263	257.090623875283	132.788510051878	64.5652464427782	255.081534436312	41.9031770270706	49.9702262502275	538.234324607145	127.56209172097	239.87895946348	131.743094393627	48.8838992608686	62.8332404637519	237.287217772766	260.821340036264	115.488428035792	159.661645771635	256.557487716315	336.530551337165	261.713693454306	0	206.36470719402	151.96639114498	192.979853155293	208.456396931292	117.63063924591	170.321959510193	323.284837647201	282.112758277328	236.721486022619	108.011732054016	206.7036857836	152.965751331461	109.38818563481	37.0891876123751	202.754687609193	381.697237053658	232.919288491934	177.392084780905	38.4429427055456	194.645771877256	125.850389383463	308.935849588795	91.9674308838633	46.2132130196554	294.003435411199
Th1 cells	1300.80951960703	634.120038060216	662.291435089445	237.668009781757	1085.85105204562	485.155544865793	662.109624558777	773.333401711134	608.12438153211	588.900234370141	819.501790003724	648.773118362042	339.845976106192	728.862964763647	550.742830795299	363.306579803654	965.974718513718	84.7612235439919	359.317322446224	736.386138417033	345.637542007737	464.496203581836	12.8646928244686	1114.53400532522	650.757822385487	561.000083582866	806.794426105351	954.634154927394	845.119053507596	613.148903778348	88.7350983246988	813.569775402587	210.114839982371	849.242371856411	64.5199545645203	673.770707977451	959.933835410478	624.588453459466	352.551959389949	799.047663170699	818.251689861562	464.177822965616	73.1251585137613	560.017097627445	348.92239540147	1502.33374329852	813.375284978992	458.892684727399	756.764158832059	601.506184300141	547.598959986254	765.744958422989	525.193264452485	406.351827678094	623.083499256928
Th2 cells	413.987421159033	434.228433899453	563.057254504193	239.458458679357	64.6724542216202	426.378470056167	1087.94034218867	641.044778710715	573.161281443067	996.192229051272	768.175608011616	916.354594645352	669.622261220933	798.353787275495	383.438958266715	753.151442396569	1070.63364696255	298.210086378258	576.307898378245	483.521049133668	527.884722751385	291.620289549238	734.484874129578	549.179518444082	601.272598892558	506.134520832813	581.015904724999	667.923081758343	531.527472109118	484.292474403885	922.913317997919	280.903589760765	890.532820520949	419.829210206935	312.570015124335	660.804026469558	789.997864748287	823.292146342717	773.260033400722	319.695198521111	539.467890429672	191.188599656903	804.992796932998	220.764121695569	782.546190711418	395.740372404671	667.667215335032	491.390893228105	387.251809934005	650.683581527291	431.034193084811	867.635061202874	536.580576821494	454.791239629256	969.313860483084
Tregs	231.835827066211	445.057497278144	659.858558802605	780.281398070582	504.843676139368	669.486028652819	764.475839243889	515.652435050266	648.133557854372	721.257087633269	610.369258449903	564.313959447802	880.505351320264	232.162846238849	768.333107501882	550.255252699783	1128.6040272848	1075.61254284154	841.45129197765	633.193625589179	962.814231109555	654.812270803908	814.664513200883	58.7290480669614	563.465559789045	682.318511916711	895.510142548285	424.285815157149	704.083664540505	540.090274068135	896.034888411674	742.087379093205	623.543835195974	791.664198483343	937.092383076575	755.147404859305	477.008581871201	675.668497539189	1085.49929833194	447.033276004742	721.071986299891	835.853243933178	899.769415935002	478.550061880729	629.494253321223	361.012248859197	770.8390326612	965.74649095171	467.228457999208	769.557673760074	530.617833765884	872.735363016919	597.144737492594	685.263596257608	671.655312556782
aDC	1830.77415315091	194.335463300603	810.493232095985	492.941425567627	742.155033561461	970.925384725886	283.566130688252	470.698223830256	382.489298634446	437.254878437663	457.461198407618	897.133991721391	282.360385956316	532.487616946294	861.224162835849	698.564939123888	491.891526694573	2123.98102223066	537.529592063882	867.264358335995	1846.60435467831	437.0554113801	1112.24227029001	1154.91291803088	568.43131690636	866.065324389423	1599.01883934795	565.114917529973	168.147166140286	764.409351463978	466.346412524089	588.429790203307	634.997045264926	606.463716105262	1710.97302310218	1063.84545817939	966.982688581801	422.021137229012	1592.75908950685	837.771281561297	195.064653837307	476.259188108725	2076.08140659979	386.377041763722	743.869968320804	1245.70801516777	988.698320182004	937.898325886862	618.267849560492	709.931146688168	535.722963924563	1518.39798771404	267.280127664841	1464.47526637495	675.587103303244
cDC	718.118818502953	521.034736572045	595.348551603482	527.953769983836	226.425217605174	606.680136060501	210.229419663035	327.794481789789	338.222638344678	426.8469500739	449.504917029333	373.355889299377	452.239522971117	475.138434590352	585.238341963163	629.789570646706	496.307196578151	976.311863931034	586.335901950058	542.508209468993	1079.12278599058	712.768970779748	787.456542803119	716.586016452891	455.706006486745	721.788216640946	694.75382398733	357.558961842569	165.209494628528	519.744093621876	822.11623490279	315.971119493116	637.806908698968	405.947551547905	818.045479772862	793.966889582743	627.878002292881	574.921833902773	598.601614558902	521.424977577088	322.970944821099	491.400921338466	980.122998845311	372.548326819802	479.768899029482	541.642816728417	590.331554786586	581.351943207861	344.343492073368	642.804409346725	457.001455721137	667.154161072402	487.551023793109	924.830912235972	601.968900387128
iDC	1212.31195076411	381.923621117825	754.366011248427	687.206530993557	615.381790320129	393.902326085218	260.06043907329	672.521242556261	552.130029020438	522.283406110933	356.884597334203	540.937154078612	662.913605294552	649.794292999742	769.417929781948	773.61533527951	733.934772301037	861.104426382886	423.806909504147	806.45272286884	1194.17663270215	555.160535313605	1021.24670645517	774.798195878066	370.312553388201	549.821523368158	736.464196630267	335.369303554229	51.017506809632	351.76068108518	912.920919382576	202.803297783405	785.33682789039	653.057858045485	765.825144943837	767.082452729089	733.27788423189	629.742306909468	506.172631494982	656.191033421145	241.670876786429	297.435986118331	1360.77090693669	258.827722375026	1115.56293830965	602.175996497614	395.816108044117	529.161734228934	626.303558500509	634.300851858761	523.608432005071	563.580595078086	1071.64947414187	1174.93402920521	507.033621393228
ly Endothelial cells	1667.37887070348	723.254543797612	514.337751155964	1013.67643703949	1338.31486875055	1868.9917779705	194.419872173346	541.929516071966	257.522708708204	406.577852504451	732.339637011216	1918.14925481501	662.43657007636	257.120280859519	1082.34901754286	913.268924197036	0	1177.99759655546	844.174820397812	735.035725182624	2257.94975759078	954.013536547813	1443.66240978218	1758.68311446473	1399.75842410699	1282.42724552505	1808.55445239743	1765.54199588393	687.12674561511	1299.45875438014	300.331618975474	677.594188708805	349.17213238021	303.563807097007	1411.87981812364	711.228096756642	576.43830381512	64.4167645885134	686.920860064653	947.92451832443	1644.12740093178	1126.89646386829	2473.09911379389	1205.35264919853	380.626451699738	1283.98107477577	371.194608582912	750.607450740045	1942.25614436837	1315.88463571991	1092.11528742712	562.627647000844	873.137836217316	1164.94291000502	1668.47361842759
mv Endothelial cells	1050.74848253527	474.662174259389	412.630515540405	560.665550152138	841.579591484491	1005.94131472204	179.299258678642	476.260106989427	145.080091041955	388.285564860398	525.151574200069	1088.35440456658	403.45087689241	388.165012080584	618.673682374876	620.805458694135	111.702087046236	600.767851377758	543.954035929049	645.253938929445	1134.94349459937	588.750743844523	751.183657142551	1098.64656267822	805.90100167006	713.405072080135	1012.2752223251	1043.19757083857	519.619216271487	747.917556970559	172.989215109293	493.523085659567	262.619687386211	339.060947938794	851.65351778082	444.014884560882	468.301981585802	116.4514443945	422.115598816465	626.360007411641	908.352345254004	615.356533385977	1296.58106309722	716.986261434525	408.354064150271	870.492469054514	277.668339579613	450.018508810553	980.147784934828	728.734500734341	668.178684571111	424.618461361203	591.602112587278	692.360566198421	821.090183296144
naive B-cells	790.09762845753	320.893864139835	580.189665232194	500.259430054908	330.069352912523	374.947499602316	454.156735638401	529.784607065313	1064.1602694717	561.232747592867	479.483353008624	327.588001330868	485.064847206947	172.306612831799	797.774768906061	506.114840675778	614.928511843407	1604.39682172033	657.363821913948	817.334047212983	428.610690095575	402.132712697728	603.306728622937	213.34957017748	329.512507096802	467.499869965947	943.375423704115	314.643123273085	435.325320764123	358.692770901256	676.609086719279	488.514988633289	588.290131052618	335.254690996622	784.841019884794	631.994717215005	386.845185637568	618.846815140319	880.161239221645	432.72704374296	386.169382127176	552.224379110886	948.228868235851	322.98105503372	444.261148251479	203.802286829621	580.468223211738	882.417241358924	428.744126087582	650.250292797967	435.263610498474	1074.6189526189	425.623185060711	580.379345257974	479.894866258062
pDC	565.37707585481	553.472260686858	533.337215456784	569.334053341757	400.552378528197	462.881586868172	348.53000421287	316.463983315934	786.039473357603	555.714398839929	606.827163326167	135.328866092493	489.813277598787	367.143457515367	657.258558151667	431.482173853257	669.450087209425	629.710145816668	554.382986918439	339.856687981296	520.12700832395	561.526297473961	668.211729743637	406.338973846023	549.675301203707	365.009260419765	494.118913074276	414.99294302397	446.995342140519	403.386828322677	647.649136789479	521.441801537519	474.030474439788	448.651036797795	202.61053556677	577.387301599739	579.439962335952	579.448813745908	544.586454904278	474.19804995987	590.035308674572	501.105098231588	539.07536099502	386.27138108396	412.389065890094	451.513517498033	720.227404929141	485.52640940734	714.472480298981	501.411750093974	325.648686837343	496.464733721178	516.79781704003	446.156893708961	615.928619961336
pro B-cells	627.732927579324	229.696265996828	340.60989392738	95.900698038138	632.005157369787	335.248366361545	443.578937810059	321.682110075023	675.762537431425	448.396974809079	317.559373152332	385.728406857617	194.082826336895	352.293074595928	483.88637499597	250.727796875602	465.820574670874	535.090111863583	271.213065044847	526.406176372183	440.928521871455	185.148147635192	272.017125675449	512.141219321784	380.386502084261	260.248906963145	745.18809348825	529.578611655854	379.111302857716	259.855335830644	153.514724195388	359.054708613942	224.988788567878	305.464081644255	312.750869141179	284.486388813908	400.5203361075	237.319071007718	373.166568483721	350.086900410935	455.873170918295	299.18749800369	412.059055512574	270.712886519048	341.326567414032	613.153785264587	358.05758523617	375.861273387453	891.872351864243	493.479430746269	297.450547748757	548.476772266819	197.274369640341	275.813995802573	324.394484376612
