	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55
Tgd cells	1	0.91713	1	1	1	1	0.48238	1	1	0.122603333333333	1	1	1	0.991486666666667	1	1	0.296636666666667	1	0.572026666666667	1	1	1	0.949006666666667	1	1	1	1	0.802726666666667	0.97867	1	0.943686666666667	1	0.86843	1	1	1	0.723043333333333	0.85863	0.85144	1	1	1	1	1	0.77702	1	1	1	1	1	1	0.84706	1	1	0.866936666666667
Th1 cells	0	0.0139433333333333	0.01307	0.567546666666667	0	0.194123333333333	0.0388366666666666	0.00056333333333336	0.03644	0.0853133333333334	0.000553333333333295	0.0980866666666667	0.397136666666667	0.0037166666666667	0.117323333333333	0.428723333333333	0	1	0.379556666666667	0.01287	0.53508	0.139936666666667	1	0	0.0391066666666666	0.0689433333333334	0.0115066666666667	0	0	0.0633766666666666	1	0.000766666666666693	0.66552	0	1	0.0238566666666666	0	0.0308533333333333	0.47574	0.00234999999999996	0.000340000000000007	0.123616666666667	1	0.101106666666667	0.354796666666667	0	0	0.149986666666667	0.0256166666666666	0.0682366666666666	0.06933	0.0134266666666667	0.08411	0.263936666666667	0.11626
Th2 cells	1	0.984716666666667	0.77704	1	1	1	0.07335	0.677143333333333	0.856033333333333	0.177593333333333	0.487196666666667	0.425416666666667	0.36964	0.341906666666667	1	0.346913333333333	0.33694	0.990903333333333	0.545426666666667	1	0.927	1	0.25721	1	0.712596666666667	0.847626666666667	1	0.898223333333333	1	1	0.01993	1	0.0258699999999999	1	0.974056666666667	0.734546666666667	0.566783333333333	0.278643333333333	0.199246666666667	1	0.945176666666667	1	0.248616666666667	1	0.238016666666667	1	0.698483333333333	0.892796666666667	1	0.68352	0.952116666666667	0.37955	0.829893333333333	0.978513333333333	0.142036666666667
Tregs	1	0.145966666666667	0.01463	0	0.733673333333333	0.00648666666666664	0.01884	0.113093333333333	0.0495166666666667	0.0226366666666666	0.05341	0.11543	0	1	0.0202633333333333	0.0410933333333333	0	0	0	0.05746	0	0.0170566666666667	0	1	0.10882	0.01054	0	0.41198	0.04902	0.05471	0	0.0381	0.02252	0.00789666666666666	0	0.00443333333333329	0.392913333333333	0.0218333333333334	0	0.29868	0.0271566666666667	0.00583	0	0.31526	0.0234333333333333	1	0.00337666666666669	0	0.255016666666667	0.00263999999999998	0.0407366666666666	0.00834999999999997	0.02378	0.0061566666666667	0.0502833333333333
aDC	0	1	0.0418633333333334	0.374416666666667	0.0502933333333333	0	1	1	1	1	0.489923333333333	0	1	0.978956666666667	0.02579	0.03645	0.71696	0	0.264473333333333	0.03776	0	0.313376666666667	0	5.66666666667048e-05	0.178813333333333	0	0	0.478033333333333	1	0.0228833333333334	0.563243333333333	0.240853333333333	0.188553333333333	0.376473333333333	0	9.66666666666338e-05	0.0037666666666667	0.855566666666667	0	0.01402	1	0.38255	0	0.418776666666667	0.0390966666666667	0	0	0	0.818383333333333	0.155593333333333	0.405886666666667	0	1	0	0.02642
cDC	0.0726933333333334	0.0100133333333333	0.12209	0.0726933333333334	1	0.0150266666666666	1	1	1	0.614136666666667	0.345953333333333	0.784996666666667	1	0.294356666666667	0.0643866666666667	0	0.103553333333333	0	0.0310466666666667	0.22227	0	0	0	0	1	0	0.00830333333333333	1	1	0.45161	0	1	0.01018	1	0	0	0.0287866666666666	0.0207633333333334	0.13892	0.22966	1	1	0	1	0.667903333333333	0.338596666666667	0.417653333333333	0.0269133333333333	1	0.0035466666666667	0.201453333333333	0.0137566666666666	0.456833333333333	0	0.04926
iDC	0	0.2435	0.00207666666666662	0.00057666666666667	0.0946333333333333	0.913993333333333	0.525596666666667	2.000000000002e-05	0.0701366666666666	0.0254833333333333	0.4919	0.16785	0.00292000000000003	4.99999999999945e-05	0.01101	0	0	0.639996666666667	0.34897	0	0	0.0437366666666666	0	0.00207666666666662	0.702236666666667	0.31434	0.335763333333333	0.53264	1	0.846213333333333	0	1	6.33333333333042e-05	0.01558	0.40295	0.01947	0.0223833333333333	0.00125333333333333	1	0.05931	1	1	0	0.850986666666667	0	0.44719	1	0.50164	3.33333333335517e-06	0.0381133333333333	0.0681966666666667	0.885066666666667	0	0	0.43313
ly Endothelial cells	0	0	0	0	0	0	0.141353333333333	0	0.15666	0.00145333333333331	0	0	0	0.721513333333333	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.350396666666667	0	0.109473333333333	0.30323	0	0	0	1	0	0	0	0	0	0	0.21041	0	9.99999999995449e-06	0	0	0	0	0	0	0	0
mv Endothelial cells	0	0	0	0	0	0	0.440396666666667	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.04747	0	0	0	0	1	0	0	0	0	0	0	0	0	0.00853000000000004	0	0	0	0	0	0	0	0
naive B-cells	1	1	1	1	1	1	1	1	0.000646666666666684	0.107523333333333	1	1	1	1	0.01733	0.28579	0.0529066666666667	0	0.193503333333333	0.0721566666666666	0.23048	1	0.0708766666666667	1	1	1	0.156173333333333	1	1	1	0.0263933333333334	1	1	1	0.0450933333333333	0.0501233333333333	1	0.05535	0.01523	1	1	1	0	1	1	1	1	0.00788999999999995	1	1	1	0.0276133333333334	1	0.10373	1
pDC	1	0.179203333333333	1	0.322893333333333	1	0.817503333333333	0.46859	1	0.01746	0.301313333333333	0.06585	1	0.721186666666667	1	0.06792	0.39725	0.02766	0.926653333333333	0.40312	1	0.576296666666667	0.208193333333333	0.12333	0.827016666666667	0.765983333333333	1	1	0.786393333333333	0.726713333333333	1	0.103783333333333	0.91619	0.696916666666667	0.675943333333333	1	0.426563333333333	0.09841	0.157246666666667	0.448176666666667	0.89791	0.278716666666667	0.906806666666667	0.312846666666667	1	1	1	0.0632966666666667	0.367063333333333	0.11105	0.365303333333333	1	1	0.562453333333333	1	0.0756133333333333
pro B-cells	0.266456666666667	1	1	1	0.260103333333333	0.61775	0.17771	0.632243333333333	0.0690766666666667	0.263706666666667	0.452893333333333	0.578333333333333	1	0.83648	0.191763333333333	0.524596666666667	0.183736666666667	0.576716666666667	1	0.295796666666667	0.257473333333333	1	0.531773333333333	0.25014	1	0.875576666666667	0.132523333333333	0.238726666666667	0.767796666666667	1	1	1	1	0.698316666666667	0.534606666666667	0.778946666666667	0.294526666666667	0.655623333333333	0.367243333333333	0.678723333333333	0.352046666666667	1	0.304476666666667	1	0.8437	0.317086666666667	0.41935	0.358573333333333	0.02161	0.186606666666667	0.8437	0.22677	1	1	0.391193333333333
