driver;Driver_2_cluster_label_2.0;Driver_2_cluster_label_2.1;Driver_3_cluster_label_3.0;Driver_3_cluster_label_3.1;Driver_4_cluster_label_4.0;Driver_4_cluster_label_4.2
ADRA2A;3.0;6.0;6.0;3.0;3.0;6.0
ADRA2B;1.0;3.0;3.0;1.0;1.0;3.0
ADRA2C;1.0;1.0;1.0;1.0;1.0;1.0
ADRB1;0.0;2.0;2.0;0.0;0.0;2.0
ADRB2;1.0;20.0;20.0;1.0;1.0;20.0
ADRB3;0.0;10.0;10.0;0.0;0.0;10.0
ADRM1;0.0;1.0;1.0;0.0;0.0;1.0
AES;1.0;3.0;3.0;1.0;1.0;3.0
AFG3L2;0.0;4.0;4.0;0.0;0.0;4.0
AGAP2;0.0;1.0;1.0;0.0;0.0;1.0
AGER;0.0;1.0;1.0;0.0;0.0;1.0
AGGF1;0.0;1.0;1.0;0.0;0.0;1.0
AGPS;0.0;1.0;1.0;0.0;0.0;1.0
AGRN;0.0;4.0;4.0;0.0;0.0;4.0
AGRP;0.0;2.0;2.0;0.0;0.0;2.0
AGT;2.0;9.0;9.0;2.0;2.0;9.0
AGTR1;1.0;19.0;19.0;1.0;1.0;19.0
AGTR2;1.0;9.0;9.0;1.0;1.0;9.0
AHCTF1;1.0;1.0;1.0;1.0;1.0;1.0
AHR;1.0;3.0;3.0;1.0;1.0;3.0
AHRR;0.0;1.0;1.0;0.0;0.0;1.0
AICDA;0.0;3.0;3.0;0.0;0.0;3.0
AIFM1;1.0;0.0;0.0;1.0;1.0;0.0
AIP;2.0;1.0;1.0;2.0;2.0;1.0
AKAP5;0.0;1.0;1.0;0.0;0.0;1.0
AKAP7;0.0;4.0;4.0;0.0;0.0;4.0
AKAP8;0.0;2.0;2.0;0.0;0.0;2.0
AKAP8L;0.0;1.0;1.0;0.0;0.0;1.0
AKAP9;3.0;15.0;15.0;3.0;3.0;15.0
AKR1A1;1.0;2.0;2.0;1.0;1.0;2.0
AKR1B1;1.0;5.0;5.0;1.0;1.0;5.0
AKR1B10;2.0;18.0;18.0;2.0;2.0;18.0
AKR1C1;2.0;6.0;6.0;2.0;2.0;6.0
AKR1C2;0.0;1.0;1.0;0.0;0.0;1.0
AKT1;3.0;14.0;14.0;3.0;3.0;14.0
AKT1S1;0.0;1.0;1.0;0.0;0.0;1.0
AKT2;3.0;8.0;8.0;3.0;3.0;8.0
AKT3;2.0;19.0;19.0;2.0;2.0;19.0
ALAD;0.0;7.0;7.0;0.0;0.0;7.0
ALAS1;3.0;5.0;5.0;3.0;3.0;5.0
ALB;0.0;2.0;2.0;0.0;0.0;2.0
ALCAM;0.0;1.0;1.0;0.0;0.0;1.0
ALDH1L1;0.0;1.0;1.0;0.0;0.0;1.0
ALDH3A2;1.0;2.0;2.0;1.0;1.0;2.0
ALDH4A1;0.0;2.0;2.0;0.0;0.0;2.0
ALG1;1.0;7.0;7.0;1.0;1.0;7.0
ALG11;1.0;2.0;2.0;1.0;1.0;2.0
ALG2;1.0;3.0;3.0;1.0;1.0;3.0
ALK;0.0;12.0;12.0;0.0;0.0;12.0
ALMS1;1.0;2.0;2.0;1.0;1.0;2.0
ALOX5;1.0;1.0;1.0;1.0;1.0;1.0
ALOX5AP;1.0;3.0;3.0;1.0;1.0;3.0
ALPL;0.0;2.0;2.0;0.0;0.0;2.0
ALX4;0.0;1.0;1.0;0.0;0.0;1.0
AMFR;0.0;1.0;1.0;0.0;0.0;1.0
AMHR2;1.0;14.0;14.0;1.0;1.0;14.0
AMIGO1;0.0;3.0;3.0;0.0;0.0;3.0
AMIGO2;0.0;2.0;2.0;0.0;0.0;2.0
AMN;0.0;3.0;3.0;0.0;0.0;3.0
AMPH;0.0;1.0;1.0;0.0;0.0;1.0
ANAPC1;3.0;4.0;4.0;3.0;3.0;4.0
ANAPC10;3.0;5.0;5.0;3.0;3.0;5.0
ANAPC11;2.0;3.0;3.0;2.0;2.0;3.0
ANAPC2;2.0;8.0;8.0;2.0;2.0;8.0
ANAPC4;1.0;5.0;5.0;1.0;1.0;5.0
ANAPC5;3.0;13.0;13.0;3.0;3.0;13.0
ANAPC7;3.0;20.0;20.0;3.0;3.0;20.0
ANG;0.0;4.0;4.0;0.0;0.0;4.0
ANGPT1;1.0;13.0;13.0;1.0;1.0;13.0
ANGPT2;0.0;2.0;2.0;0.0;0.0;2.0
ANGPT4;0.0;1.0;1.0;0.0;0.0;1.0
ANGPTL1;0.0;9.0;9.0;0.0;0.0;9.0
ANK2;1.0;17.0;17.0;1.0;1.0;17.0
ANK3;1.0;11.0;11.0;1.0;1.0;11.0
ANKRA2;0.0;1.0;1.0;0.0;0.0;1.0
ANKRD13D;0.0;1.0;1.0;0.0;0.0;1.0
ANKZF1;0.0;1.0;1.0;0.0;0.0;1.0
ANP32A;0.0;1.0;1.0;0.0;0.0;1.0
ANPEP;2.0;3.0;3.0;2.0;2.0;3.0
ANTXR1;1.0;6.0;6.0;1.0;1.0;6.0
ANTXR2;0.0;5.0;5.0;0.0;0.0;5.0
ANXA1;0.0;3.0;3.0;0.0;0.0;3.0
ANXA11;0.0;1.0;1.0;0.0;0.0;1.0
ANXA2;1.0;4.0;4.0;1.0;1.0;4.0
ANXA6;0.0;1.0;1.0;0.0;0.0;1.0
AOX1;0.0;6.0;6.0;0.0;0.0;6.0
AP1B1;2.0;12.0;12.0;2.0;2.0;12.0
AP1G1;2.0;5.0;5.0;2.0;2.0;5.0
AP1M1;2.0;3.0;3.0;2.0;2.0;3.0
AP1M2;0.0;6.0;6.0;0.0;0.0;6.0
AP1S1;1.0;4.0;4.0;1.0;1.0;4.0
AP1S2;0.0;4.0;4.0;0.0;0.0;4.0
AP1S3;1.0;8.0;8.0;1.0;1.0;8.0
AP2A1;1.0;4.0;4.0;1.0;1.0;4.0
AP2A2;1.0;3.0;3.0;1.0;1.0;3.0
AP2B1;1.0;5.0;5.0;1.0;1.0;5.0
AP2M1;1.0;2.0;2.0;1.0;1.0;2.0
AP2S1;0.0;4.0;4.0;0.0;0.0;4.0
AP3B1;1.0;2.0;2.0;1.0;1.0;2.0
AP3D1;1.0;4.0;4.0;1.0;1.0;4.0
AP3S1;0.0;1.0;1.0;0.0;0.0;1.0
AP3S2;1.0;8.0;8.0;1.0;1.0;8.0
AP4B1;0.0;2.0;2.0;0.0;0.0;2.0
AP4E1;0.0;2.0;2.0;0.0;0.0;2.0
AP4M1;1.0;2.0;2.0;1.0;1.0;2.0
AP4S1;0.0;3.0;3.0;0.0;0.0;3.0
APAF1;3.0;4.0;4.0;3.0;3.0;4.0
APBA1;0.0;14.0;14.0;0.0;0.0;14.0
APBB1;0.0;16.0;16.0;0.0;0.0;16.0
APBB1IP;1.0;4.0;4.0;1.0;1.0;4.0
APBB2;0.0;1.0;1.0;0.0;0.0;1.0
APC;3.0;20.0;20.0;3.0;3.0;20.0
APC2;0.0;3.0;3.0;0.0;0.0;3.0
APEX1;3.0;13.0;13.0;3.0;3.0;13.0
APH1A;0.0;6.0;6.0;0.0;0.0;6.0
APH1B;0.0;3.0;3.0;0.0;0.0;3.0
APLNR;0.0;1.0;1.0;0.0;0.0;1.0
APLP1;1.0;19.0;19.0;1.0;1.0;19.0
APLP2;0.0;2.0;2.0;0.0;0.0;2.0
APOA1;0.0;2.0;2.0;0.0;0.0;2.0
APOA2;1.0;0.0;0.0;1.0;1.0;0.0
APOA4;0.0;2.0;2.0;0.0;0.0;2.0
APOB;0.0;1.0;1.0;0.0;0.0;1.0
APOBEC1;0.0;1.0;1.0;0.0;0.0;1.0
APOBEC3G;0.0;7.0;7.0;0.0;0.0;7.0
APOC2;0.0;2.0;2.0;0.0;0.0;2.0
APOE;0.0;2.0;2.0;0.0;0.0;2.0
APP;3.0;9.0;9.0;3.0;3.0;9.0
APPL1;1.0;0.0;0.0;1.0;1.0;0.0
APTX;0.0;2.0;2.0;0.0;0.0;2.0
AQP1;0.0;2.0;2.0;0.0;0.0;2.0
AQP3;1.0;1.0;1.0;1.0;1.0;1.0
AQP4;2.0;10.0;10.0;2.0;2.0;10.0
AQP5;0.0;2.0;2.0;0.0;0.0;2.0
AQP6;0.0;1.0;1.0;0.0;0.0;1.0
AQP7;2.0;9.0;9.0;2.0;2.0;9.0
ARAF;0.0;2.0;2.0;0.0;0.0;2.0
ARAP1;1.0;3.0;3.0;1.0;1.0;3.0
ARAP2;0.0;1.0;1.0;0.0;0.0;1.0
ARCN1;1.0;2.0;2.0;1.0;1.0;2.0
ARF3;3.0;6.0;6.0;3.0;3.0;6.0
ARF4;3.0;6.0;6.0;3.0;3.0;6.0
ARF5;3.0;11.0;11.0;3.0;3.0;11.0
ARF6;3.0;13.0;13.0;3.0;3.0;13.0
ARFGAP1;3.0;10.0;10.0;3.0;3.0;10.0
ARFGAP3;0.0;2.0;2.0;0.0;0.0;2.0
ARFGEF1;0.0;1.0;1.0;0.0;0.0;1.0
ARFGEF2;1.0;1.0;1.0;1.0;1.0;1.0
ARFIP2;2.0;6.0;6.0;2.0;2.0;6.0
ARHGAP1;1.0;6.0;6.0;1.0;1.0;6.0
ARHGAP10;0.0;13.0;13.0;0.0;0.0;13.0
ARHGAP11A;0.0;1.0;1.0;0.0;0.0;1.0
ARHGAP17;1.0;1.0;1.0;1.0;1.0;1.0
ARHGAP20;0.0;5.0;5.0;0.0;0.0;5.0
ARHGAP25;0.0;4.0;4.0;0.0;0.0;4.0
ARHGAP26;1.0;3.0;3.0;1.0;1.0;3.0
ARHGAP28;0.0;3.0;3.0;0.0;0.0;3.0
ARHGAP30;0.0;1.0;1.0;0.0;0.0;1.0
ARHGAP5;2.0;1.0;1.0;2.0;2.0;1.0
ARHGAP6;0.0;3.0;3.0;0.0;0.0;3.0
ARHGDIA;0.0;3.0;3.0;0.0;0.0;3.0
ARHGDIB;0.0;4.0;4.0;0.0;0.0;4.0
ARHGEF11;0.0;4.0;4.0;0.0;0.0;4.0
ARHGEF12;1.0;4.0;4.0;1.0;1.0;4.0
ARHGEF16;0.0;1.0;1.0;0.0;0.0;1.0
ARHGEF17;0.0;2.0;2.0;0.0;0.0;2.0
ARHGEF18;1.0;9.0;9.0;1.0;1.0;9.0
ARHGEF2;1.0;1.0;1.0;1.0;1.0;1.0
ARHGEF25;0.0;3.0;3.0;0.0;0.0;3.0
ARHGEF4;0.0;5.0;5.0;0.0;0.0;5.0
ARHGEF5;0.0;1.0;1.0;0.0;0.0;1.0
ARHGEF6;0.0;15.0;15.0;0.0;0.0;15.0
ARHGEF7;0.0;2.0;2.0;0.0;0.0;2.0
ARHGEF9;0.0;3.0;3.0;0.0;0.0;3.0
ARID1A;2.0;5.0;5.0;2.0;2.0;5.0
ARID1B;0.0;3.0;3.0;0.0;0.0;3.0
ARID2;0.0;2.0;2.0;0.0;0.0;2.0
ARID4B;1.0;2.0;2.0;1.0;1.0;2.0
ARL1;2.0;5.0;5.0;2.0;2.0;5.0
ARL2;1.0;0.0;0.0;1.0;1.0;0.0
ARL3;3.0;2.0;2.0;3.0;3.0;2.0
ARL4A;0.0;1.0;1.0;0.0;0.0;1.0
ARL4D;0.0;12.0;12.0;0.0;0.0;12.0
ARL5A;1.0;0.0;0.0;1.0;1.0;0.0
ARL5B;0.0;1.0;1.0;0.0;0.0;1.0
ARL6IP5;1.0;4.0;4.0;1.0;1.0;4.0
ARNT;2.0;22.0;22.0;2.0;2.0;22.0
ARNTL;2.0;13.0;13.0;2.0;2.0;13.0
ARNTL2;3.0;21.0;21.0;3.0;3.0;21.0
ARPC1A;0.0;3.0;3.0;0.0;0.0;3.0
ARPC1B;0.0;7.0;7.0;0.0;0.0;7.0
ARPC2;2.0;7.0;7.0;2.0;2.0;7.0
ARPC3;1.0;4.0;4.0;1.0;1.0;4.0
ARPC4;0.0;3.0;3.0;0.0;0.0;3.0
ARPC5;0.0;2.0;2.0;0.0;0.0;2.0
ARPC5L;1.0;4.0;4.0;1.0;1.0;4.0
ARR3;0.0;4.0;4.0;0.0;0.0;4.0
ARRB1;2.0;17.0;17.0;2.0;2.0;17.0
ARRB2;3.0;22.0;22.0;3.0;3.0;22.0
ARSB;0.0;1.0;1.0;0.0;0.0;1.0
ARTN;0.0;5.0;5.0;0.0;0.0;5.0
ASAH1;0.0;1.0;1.0;0.0;0.0;1.0
ASAP1;0.0;1.0;1.0;0.0;0.0;1.0
ASAP2;3.0;5.0;5.0;3.0;3.0;5.0
ASCC1;0.0;1.0;1.0;0.0;0.0;1.0
ASCC2;3.0;13.0;13.0;3.0;3.0;13.0
ASCC3;1.0;1.0;1.0;1.0;1.0;1.0
ASCL1;0.0;1.0;1.0;0.0;0.0;1.0
ASF1A;2.0;3.0;3.0;2.0;2.0;3.0
ASF1B;0.0;3.0;3.0;0.0;0.0;3.0
ASGR1;0.0;2.0;2.0;0.0;0.0;2.0
ASGR2;1.0;0.0;0.0;1.0;1.0;0.0
ASH1L;0.0;1.0;1.0;0.0;0.0;1.0
ASH2L;0.0;5.0;5.0;0.0;0.0;5.0
ASNS;1.0;1.0;1.0;1.0;1.0;1.0
ATAD2;0.0;1.0;1.0;0.0;0.0;1.0
ATF1;3.0;13.0;13.0;3.0;3.0;13.0
ATF3;0.0;4.0;4.0;0.0;0.0;4.0
ATF4;3.0;9.0;9.0;3.0;3.0;9.0
ATF6;1.0;2.0;2.0;1.0;1.0;2.0
ATF6B;1.0;2.0;2.0;1.0;1.0;2.0
ATG12;1.0;3.0;3.0;1.0;1.0;3.0
ATG16L1;1.0;2.0;2.0;1.0;1.0;2.0
ATG3;0.0;2.0;2.0;0.0;0.0;2.0
ATG4A;0.0;1.0;1.0;0.0;0.0;1.0
ATG5;1.0;2.0;2.0;1.0;1.0;2.0
ATG7;0.0;4.0;4.0;0.0;0.0;4.0
ATIC;1.0;6.0;6.0;1.0;1.0;6.0
ATM;3.0;4.0;4.0;3.0;3.0;4.0
ATN1;1.0;8.0;8.0;1.0;1.0;8.0
ATP13A1;1.0;5.0;5.0;1.0;1.0;5.0
ATP13A3;0.0;1.0;1.0;0.0;0.0;1.0
ATP1B1;3.0;9.0;9.0;3.0;3.0;9.0
ATP1B2;1.0;11.0;11.0;1.0;1.0;11.0
ATP1B3;1.0;4.0;4.0;1.0;1.0;4.0
ATP2A1;0.0;1.0;1.0;0.0;0.0;1.0
ATP2A2;0.0;6.0;6.0;0.0;0.0;6.0
ATP2A3;0.0;2.0;2.0;0.0;0.0;2.0
ATP2B4;0.0;3.0;3.0;0.0;0.0;3.0
ATP2C1;2.0;6.0;6.0;2.0;2.0;6.0
ATP2C2;0.0;3.0;3.0;0.0;0.0;3.0
ATP4A;0.0;3.0;3.0;0.0;0.0;3.0
ATP5A1;3.0;12.0;12.0;3.0;3.0;12.0
ATP5B;2.0;6.0;6.0;2.0;2.0;6.0
ATP5C1;1.0;9.0;9.0;1.0;1.0;9.0
ATP5D;1.0;4.0;4.0;1.0;1.0;4.0
ATP5E;0.0;2.0;2.0;0.0;0.0;2.0
ATP5F1;1.0;4.0;4.0;1.0;1.0;4.0
ATP5G1;2.0;5.0;5.0;2.0;2.0;5.0
ATP5G3;0.0;3.0;3.0;0.0;0.0;3.0
ATP5H;0.0;3.0;3.0;0.0;0.0;3.0
ATP5I;2.0;7.0;7.0;2.0;2.0;7.0
ATP5J;3.0;6.0;6.0;3.0;3.0;6.0
ATP5J2;2.0;12.0;12.0;2.0;2.0;12.0
ATP5L;0.0;6.0;6.0;0.0;0.0;6.0
ATP5O;1.0;8.0;8.0;1.0;1.0;8.0
ATP6V0B;0.0;2.0;2.0;0.0;0.0;2.0
ATP6V0C;1.0;1.0;1.0;1.0;1.0;1.0
ATP6V0D1;2.0;6.0;6.0;2.0;2.0;6.0
ATP6V1A;1.0;1.0;1.0;1.0;1.0;1.0
ATP6V1B1;1.0;0.0;0.0;1.0;1.0;0.0
ATP6V1B2;0.0;1.0;1.0;0.0;0.0;1.0
ATP6V1D;0.0;1.0;1.0;0.0;0.0;1.0
ATP6V1E1;1.0;12.0;12.0;1.0;1.0;12.0
ATP6V1G2;1.0;3.0;3.0;1.0;1.0;3.0
ATP6V1H;2.0;6.0;6.0;2.0;2.0;6.0
ATP7A;0.0;1.0;1.0;0.0;0.0;1.0
ATP7B;0.0;1.0;1.0;0.0;0.0;1.0
ATP8A1;0.0;3.0;3.0;0.0;0.0;3.0
ATP8A2;2.0;13.0;13.0;2.0;2.0;13.0
ATP8B1;3.0;19.0;19.0;3.0;3.0;19.0
ATP8B2;0.0;4.0;4.0;0.0;0.0;4.0
ATP8B3;0.0;1.0;1.0;0.0;0.0;1.0
ATP8B4;0.0;1.0;1.0;0.0;0.0;1.0
ATR;3.0;4.0;4.0;3.0;3.0;4.0
ATRIP;1.0;2.0;2.0;1.0;1.0;2.0
ATRX;1.0;1.0;1.0;1.0;1.0;1.0
ATXN1;1.0;4.0;4.0;1.0;1.0;4.0
AURKA;2.0;19.0;19.0;2.0;2.0;19.0
AURKB;3.0;18.0;18.0;3.0;3.0;18.0
AURKC;0.0;2.0;2.0;0.0;0.0;2.0
AVP;1.0;0.0;0.0;1.0;1.0;0.0
AVPR1A;0.0;1.0;1.0;0.0;0.0;1.0
AVPR1B;3.0;21.0;21.0;3.0;3.0;21.0
AVPR2;0.0;1.0;1.0;0.0;0.0;1.0
AXIN1;1.0;13.0;13.0;1.0;1.0;13.0
AXIN2;2.0;5.0;5.0;2.0;2.0;5.0
AXL;0.0;11.0;11.0;0.0;0.0;11.0
AZU1;0.0;1.0;1.0;0.0;0.0;1.0
B2M;1.0;9.0;9.0;1.0;1.0;9.0
B4GALT1;3.0;5.0;5.0;3.0;3.0;5.0
B9D2;2.0;2.0;2.0;2.0;2.0;2.0
BACE1;1.0;7.0;7.0;1.0;1.0;7.0
BACE2;2.0;4.0;4.0;2.0;2.0;4.0
BACH2;0.0;3.0;3.0;0.0;0.0;3.0
BAD;0.0;9.0;9.0;0.0;0.0;9.0
BAG1;0.0;1.0;1.0;0.0;0.0;1.0
BAG3;2.0;4.0;4.0;2.0;2.0;4.0
BAIAP2;1.0;3.0;3.0;1.0;1.0;3.0
BAK1;2.0;13.0;13.0;2.0;2.0;13.0
BAMBI;0.0;1.0;1.0;0.0;0.0;1.0
BANF1;3.0;7.0;7.0;3.0;3.0;7.0
BARD1;3.0;6.0;6.0;3.0;3.0;6.0
BATF;0.0;1.0;1.0;0.0;0.0;1.0
BATF3;0.0;1.0;1.0;0.0;0.0;1.0
BAX;1.0;4.0;4.0;1.0;1.0;4.0
BAZ1A;0.0;2.0;2.0;0.0;0.0;2.0
BAZ1B;2.0;7.0;7.0;2.0;2.0;7.0
BAZ2B;0.0;1.0;1.0;0.0;0.0;1.0
BCAP31;2.0;4.0;4.0;2.0;2.0;4.0
BCAR1;1.0;11.0;11.0;1.0;1.0;11.0
BCAR3;0.0;3.0;3.0;0.0;0.0;3.0
BCAS2;2.0;1.0;1.0;2.0;2.0;1.0
BCAT1;0.0;1.0;1.0;0.0;0.0;1.0
BCHE;0.0;11.0;11.0;0.0;0.0;11.0
BCKDHA;0.0;2.0;2.0;0.0;0.0;2.0
BCKDHB;0.0;1.0;1.0;0.0;0.0;1.0
BCL10;3.0;14.0;14.0;3.0;3.0;14.0
BCL2;3.0;20.0;20.0;3.0;3.0;20.0
BCL2L1;1.0;9.0;9.0;1.0;1.0;9.0
BCL2L10;1.0;1.0;1.0;1.0;1.0;1.0
BCL2L11;3.0;8.0;8.0;3.0;3.0;8.0
BCL2L2;0.0;12.0;12.0;0.0;0.0;12.0
BCL6;2.0;12.0;12.0;2.0;2.0;12.0
BCL9;1.0;4.0;4.0;1.0;1.0;4.0
BCLAF1;2.0;11.0;11.0;2.0;2.0;11.0
BCOR;0.0;1.0;1.0;0.0;0.0;1.0
BCR;1.0;5.0;5.0;1.0;1.0;5.0
BDKRB1;2.0;12.0;12.0;2.0;2.0;12.0
BDKRB2;3.0;12.0;12.0;3.0;3.0;12.0
BDNF;0.0;2.0;2.0;0.0;0.0;2.0
BDP1;1.0;1.0;1.0;1.0;1.0;1.0
BET1;1.0;1.0;1.0;1.0;1.0;1.0
BET1L;1.0;1.0;1.0;1.0;1.0;1.0
BEX1;0.0;2.0;2.0;0.0;0.0;2.0
BGLAP;0.0;1.0;1.0;0.0;0.0;1.0
BGN;1.0;3.0;3.0;1.0;1.0;3.0
