drivers;Driver_2_cluster_label_2.0;Driver_2_cluster_label_2.1;Driver_3_cluster_label_3.0;Driver_3_cluster_label_3.1;Driver_3_cluster_label_3.2;Driver_4_cluster_label_4.0;Driver_4_cluster_label_4.1;Driver_4_cluster_label_4.2;Driver_4_cluster_label_4.3
CDC5L;7.0;21.0;3.0;21.0;4.0;20.0;2.0;5.0;1.0
CEBPA;2.0;6.0;1.0;6.0;1.0;6.0;1.0;1.0;0.0
CEBPB;3.0;12.0;1.0;14.0;0.0;13.0;0.0;1.0;1.0
CEBPD;7.0;44.0;4.0;43.0;4.0;43.0;3.0;4.0;1.0
CEBPG;3.0;7.0;1.0;6.0;3.0;6.0;1.0;3.0;0.0
CEBPZ;0.0;4.0;0.0;4.0;0.0;4.0;0.0;0.0;0.0
CENPB;6.0;25.0;6.0;22.0;3.0;22.0;5.0;3.0;1.0
CENPT;7.0;24.0;11.0;17.0;3.0;18.0;9.0;4.0;0.0
CGGBP1;18.0;32.0;9.0;29.0;12.0;29.0;3.0;15.0;3.0
CHCHD3;43.0;47.0;1.0;53.0;36.0;50.0;1.0;39.0;0.0
CIC;5.0;6.0;2.0;5.0;4.0;5.0;1.0;4.0;1.0
CLOCK;5.0;12.0;3.0;12.0;2.0;12.0;2.0;3.0;0.0
CPEB1;0.0;6.0;1.0;5.0;0.0;6.0;0.0;0.0;0.0
CREB1;4.0;4.0;2.0;4.0;2.0;4.0;1.0;3.0;0.0
CREB3;6.0;21.0;7.0;18.0;2.0;19.0;2.0;2.0;4.0
CREB3L1;4.0;13.0;5.0;11.0;1.0;12.0;1.0;2.0;2.0
CREB3L2;22.0;22.0;1.0;24.0;19.0;23.0;0.0;20.0;1.0
CREB3L4;6.0;29.0;8.0;24.0;3.0;23.0;5.0;5.0;2.0
CREB5;15.0;21.0;0.0;23.0;13.0;22.0;0.0;14.0;0.0
CREBL2;5.0;12.0;7.0;9.0;1.0;10.0;5.0;1.0;1.0
CREBZF;11.0;23.0;5.0;23.0;6.0;22.0;3.0;8.0;1.0
CREM;2.0;11.0;2.0;11.0;0.0;11.0;0.0;1.0;1.0
CSRNP1;2.0;9.0;2.0;8.0;1.0;8.0;2.0;1.0;0.0
CSRNP2;5.0;21.0;2.0;21.0;3.0;21.0;0.0;4.0;1.0
CTCF;7.0;29.0;6.0;26.0;4.0;26.0;4.0;5.0;1.0
CUX1;10.0;22.0;0.0;23.0;9.0;24.0;0.0;8.0;0.0
CXXC1;13.0;25.0;11.0;19.0;8.0;19.0;7.0;9.0;3.0
DACH1;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0
DBP;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
DEAF1;5.0;9.0;2.0;8.0;4.0;9.0;0.0;4.0;1.0
DMTF1;43.0;44.0;1.0;47.0;39.0;47.0;0.0;40.0;0.0
DNMT1;4.0;10.0;4.0;8.0;2.0;8.0;3.0;3.0;0.0
DNTTIP1;8.0;28.0;2.0;28.0;6.0;27.0;2.0;7.0;0.0
DOT1L;5.0;16.0;7.0;11.0;3.0;12.0;6.0;3.0;0.0
DPF3;0.0;2.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0
DR1;2.0;11.0;4.0;9.0;0.0;10.0;2.0;0.0;1.0
DRAP1;12.0;28.0;7.0;27.0;6.0;26.0;5.0;8.0;1.0
DZIP1;9.0;21.0;8.0;19.0;3.0;18.0;6.0;4.0;2.0
E2F1;7.0;22.0;3.0;22.0;4.0;22.0;1.0;5.0;1.0
E2F2;2.0;8.0;1.0;8.0;1.0;8.0;1.0;1.0;0.0
E2F3;2.0;19.0;4.0;17.0;0.0;16.0;4.0;1.0;0.0
E2F4;3.0;26.0;5.0;23.0;1.0;24.0;3.0;1.0;1.0
E2F5;4.0;72.0;0.0;74.0;2.0;71.0;0.0;5.0;0.0
E2F6;3.0;20.0;2.0;20.0;1.0;20.0;0.0;1.0;2.0
E2F8;2.0;6.0;1.0;5.0;2.0;6.0;0.0;2.0;0.0
E4F1;7.0;45.0;12.0;37.0;3.0;38.0;8.0;5.0;1.0
EBF1;9.0;23.0;5.0;24.0;3.0;23.0;4.0;4.0;1.0
EBF2;5.0;13.0;5.0;10.0;3.0;10.0;5.0;3.0;0.0
EBF3;4.0;10.0;3.0;9.0;2.0;9.0;2.0;3.0;0.0
EBF4;5.0;17.0;3.0;16.0;3.0;15.0;3.0;4.0;0.0
EEA1;10.0;33.0;6.0;34.0;3.0;34.0;3.0;4.0;2.0
EGR1;0.0;3.0;1.0;2.0;0.0;3.0;0.0;0.0;0.0
EGR2;4.0;14.0;4.0;12.0;2.0;11.0;2.0;3.0;2.0
EGR3;1.0;4.0;2.0;2.0;1.0;2.0;2.0;1.0;0.0
EGR4;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
EHF;8.0;22.0;4.0;22.0;4.0;23.0;1.0;5.0;1.0
ELF1;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
